ticker,date,MOM,date_tuple,date_dt,signal,LS_Return,SS_Return,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate
AMD,2019-01-18,0.096961513,"(2019, 1)",2019-01-01 00:00:00,LS,-0.036050653,0.036050653,21,1.59,1.83,0.480817402,0.519182598,1.714603823,2019-02-15
AMZN,2019-01-18,0.039491061,"(2019, 1)",2019-01-01 00:00:00,LS,-0.045904764,0.045904764,87.5,2.28625,4.98625,0.60028017,0.39971983,3.36549354,2019-02-15
NVDA,2019-01-18,-0.004286998,"(2019, 1)",2019-01-01 00:00:00,SS,0.074225297,-0.074225297,4.25,0.100625,0.419375,0.69089728,0.30910272,0.199151492,2019-02-15
AVGO,2019-01-18,-0.002924415,"(2019, 1)",2019-01-01 00:00:00,SS,0.026506143,-0.026506143,27,0.37,1.29,0.677758936,0.322241064,0.666461779,2019-02-15
META,2019-01-18,-0.017678133,"(2019, 1)",2019-01-01 00:00:00,SS,-0.031431604,0.031431604,160,2.705,12.45,0.709567233,0.290432767,5.535267311,2019-02-15
NFLX,2019-01-18,0.047288706,"(2019, 1)",2019-01-01 00:00:00,LS,0.054785538,-0.054785538,365,5.6,31.075,0.732779414,0.267220586,12.40744443,2019-02-15
AMD,2019-02-15,0.054242519,"(2019, 2)",2019-02-01 00:00:00,LS,0.084572584,-0.084572584,24,1.175,1.45,0.506595363,0.493404637,1.310686275,2019-03-15
AVGO,2019-02-15,0.00770801,"(2019, 2)",2019-02-01 00:00:00,LS,0.102005927,-0.102005927,29,0.64,1.43,0.628726751,0.371273249,0.933305867,2019-03-15
BABA,2019-02-15,-0.03204144,"(2019, 2)",2019-02-01 00:00:00,SS,-0.003172468,0.003172468,170,3.1,7.025,0.614209121,0.385790879,4.614229199,2019-03-15
META,2019-02-15,-0.029206411,"(2019, 2)",2019-02-01 00:00:00,SS,0.032455484,-0.032455484,170,1.695,9,0.73480002,0.26519998,3.632285854,2019-03-15
MSFT,2019-02-15,0.008926828,"(2019, 2)",2019-02-01 00:00:00,LS,0.052754999,-0.052754999,110,1.33,3.45,0.638726608,0.361273392,2.09589959,2019-03-15
NVDA,2019-02-15,-0.045507056,"(2019, 2)",2019-02-01 00:00:00,SS,0.164010511,-0.164010511,4,0.138125,0.200625,0.539482001,0.460517999,0.166907375,2019-03-15
AMD,2019-03-15,0.094329231,"(2019, 3)",2019-03-01 00:00:00,LS,0.082679529,-0.082679529,24,0.935,1.595,0.558957826,0.441042174,1.226087835,2019-04-18
AMZN,2019-03-15,0.016754613,"(2019, 3)",2019-03-01 00:00:00,LS,0.081860076,-0.081860076,89.5,0.84125,4.7275,0.739263184,0.260736816,1.854538453,2019-04-18
BABA,2019-03-15,-0.003125986,"(2019, 3)",2019-03-01 00:00:00,SS,0.017100043,-0.017100043,185,3.25,7.175,0.6112378,0.3887622,4.775891634,2019-04-18
INTC,2019-03-15,-0.001233653,"(2019, 3)",2019-03-01 00:00:00,SS,-0.049534124,0.049534124,55,1.03,1.475,0.561248877,0.438751123,1.22524425,2019-04-18
NFLX,2019-03-15,0.021630429,"(2019, 3)",2019-03-01 00:00:00,LS,0.039209013,-0.039209013,350,26.2,13.875,0.374987885,0.625012115,18.49672568,2019-04-18
NVDA,2019-03-15,-0.037176846,"(2019, 3)",2019-03-01 00:00:00,SS,0.008017725,-0.008017725,4.5,0.090625,0.330625,0.682284954,0.317715046,0.166876611,2019-04-18
AMD,2019-04-18,0.106516301,"(2019, 4)",2019-04-01 00:00:00,LS,-0.007960897,0.007960897,28,1.795,2.07,0.488215761,0.511784239,1.935740666,2019-05-17
BABA,2019-04-18,0.005989298,"(2019, 4)",2019-04-01 00:00:00,SS,-0.195667845,0.195667845,190,5.575,8.025,0.546928519,0.453071481,6.685025128,2019-05-17
INTC,2019-04-18,0.005532522,"(2019, 4)",2019-04-01 00:00:00,SS,-0.131842987,0.131842987,57.5,2.31,1.46,0.407994007,0.592005993,1.806794906,2019-05-17
NFLX,2019-04-18,0.025372377,"(2019, 4)",2019-04-01 00:00:00,LS,-0.073567238,0.073567238,360,11.95,11.2,0.47389439,0.52610561,11.55542079,2019-05-17
NVDA,2019-04-18,-0.0265185,"(2019, 4)",2019-04-01 00:00:00,SS,-0.250741603,0.250741603,5,0.08875,0.426875,0.714182545,0.285817455,0.185392027,2019-05-17
TSLA,2019-04-18,0.023952058,"(2019, 4)",2019-04-01 00:00:00,LS,-0.224265606,0.224265606,19.66666667,0.58,2.021666667,0.661242297,0.338757703,1.068375689,2019-05-17
AMD,2019-05-17,0.106696478,"(2019, 5)",2019-05-01 00:00:00,LS,0.107988843,-0.107988843,29,1.035,2.495,0.608355663,0.391644337,1.606800732,2019-06-21
AVGO,2019-05-17,0.030733199,"(2019, 5)",2019-05-01 00:00:00,LS,0.15499962,-0.15499962,31,0.44,2.595,0.736761276,0.263238724,1.00727945,2019-06-21
F,2019-05-17,-0.01428719,"(2019, 5)",2019-05-01 00:00:00,SS,0.07458032,-0.07458032,10,0.49,0.17,0.327453021,0.672546979,0.274784967,2019-06-21
MARA,2019-05-17,-0.062310765,"(2019, 5)",2019-05-01 00:00:00,SS,0.058607754,-0.058607754,2.5,0.725,0.35,0.277860933,0.722139067,0.45419785,2019-06-21
