ticker,signal,tradingDate,expirationDate,adjStrikePrice,weightCall,weightPut,entry
NVDA,SS,2019-01-18,2019-02-15,4.25,0.69089728,0.30910272,0.199151492
AVGO,SS,2019-01-18,2019-02-15,27.0,0.677758936,0.322241064,0.666461779
META,SS,2019-01-18,2019-02-15,160.0,0.709567233,0.290432767,5.535267311
BABA,SS,2019-02-15,2019-03-15,170.0,0.614209121,0.385790879,4.614229199
META,SS,2019-02-15,2019-03-15,170.0,0.73480002,0.26519998,3.632285854
NVDA,SS,2019-02-15,2019-03-15,4.0,0.539482001,0.460517999,0.166907375
BABA,SS,2019-03-15,2019-04-18,185.0,0.6112378,0.3887622,4.775891634
INTC,SS,2019-03-15,2019-04-18,55.0,0.561248877,0.438751123,1.22524425
NVDA,SS,2019-03-15,2019-04-18,4.5,0.682284954,0.317715046,0.166876611
BABA,SS,2019-04-18,2019-05-17,190.0,0.546928519,0.453071481,6.685025128
INTC,SS,2019-04-18,2019-05-17,57.5,0.407994007,0.592005993,1.806794906
NVDA,SS,2019-04-18,2019-05-17,5.0,0.714182545,0.285817455,0.185392027
F,SS,2019-05-17,2019-06-21,10.0,0.327453021,0.672546979,0.274784967
MARA,SS,2019-05-17,2019-06-21,2.5,0.277860933,0.722139067,0.45419785
NVDA,SS,2019-05-17,2019-06-21,4.125,0.658792899,0.341207101,0.170675799
INTC,SS,2019-06-21,2019-07-19,48.0,0.542768673,0.457231327,1.301181784
NVDA,SS,2019-06-21,2019-07-19,3.875,0.557859024,0.442140976,0.151357897
TSLA,SS,2019-06-21,2019-07-19,14.33333333,0.392774074,0.607225926,0.942342741
BABA,SS,2019-07-19,2019-08-16,180.0,0.688586465,0.311413535,4.534516777
NVDA,SS,2019-07-19,2019-08-16,4.375,0.603433814,0.396566186,0.190228489
TSLA,SS,2019-07-19,2019-08-16,19.0,0.738361314,0.261638686,0.812150755
GOOGL,SS,2019-08-16,2019-09-20,61.25,0.700262551,0.299737449,1.366676982
NVDA,SS,2019-08-16,2019-09-20,4.125,0.599774983,0.400225017,0.168027002
TSLA,SS,2019-08-16,2019-09-20,15.33333333,0.604307629,0.395692371,0.769490298
NFLX,SS,2019-09-20,2019-10-18,290.0,0.664091382,0.335908618,14.09905917
NVDA,SS,2019-09-20,2019-10-18,4.375,0.533214262,0.466785738,0.159712724
TSLA,SS,2019-09-20,2019-10-18,16.66666667,0.603625411,0.396374589,0.741097663
AMZN,SS,2019-10-18,2019-11-15,92.0,0.719156402,0.280843598,2.201369557
NFLX,SS,2019-10-18,2019-11-15,290.0,0.69696232,0.30303768,8.953135061
NVDA,SS,2019-10-18,2019-11-15,4.875,0.552092241,0.447907759,0.223130603
NFLX,SS,2019-11-15,2019-12-20,300.0,0.549603956,0.450396044,10.59548269
NVDA,SS,2019-11-15,2019-12-20,5.125,0.493776506,0.506223494,0.199776963
TSLA,SS,2019-11-15,2019-12-20,24.66666667,0.640239586,0.359760414,1.051519286
NFLX,SS,2019-12-20,2020-01-17,355.0,0.736895893,0.263104107,8.61747707
AMZN,SS,2019-12-20,2020-01-17,90.0,0.547219419,0.452780581,1.610255053
TSLA,SS,2019-12-20,2020-01-17,27.33333333,0.508609524,0.491390476,1.310218476
AMZN,SS,2020-01-17,2020-02-21,96.0,0.62485381,0.37514619,2.842112184
NFLX,SS,2020-01-17,2020-02-21,365.0,0.7040382,0.2959618,14.44725167
TSLA,SS,2020-01-17,2020-02-21,33.66666667,0.438694967,0.561305033,2.569306263
AMZN,SS,2020-02-21,2020-03-20,108.0,0.656958366,0.343041634,2.654120782
F,SS,2020-02-21,2020-03-20,8.0,0.549570168,0.450429832,0.245538685
NFLX,SS,2020-02-21,2020-03-20,400.0,0.70100029,0.29899971,11.98024427
F,SS,2020-03-20,2020-04-17,5.0,0.605599299,0.394400701,0.60424847
BABA,SS,2020-03-20,2020-04-17,175.0,0.376204699,0.623795301,9.723304957
NFLX,SS,2020-03-20,2020-04-17,370.0,0.710436316,0.289563684,19.88683537
F,SS,2020-04-17,2020-05-15,6.0,0.745929748,0.254070252,0.429852173
AVGO,SS,2020-04-17,2020-05-15,25.0,0.313001397,0.686998603,1.332022151
NFLX,SS,2020-04-17,2020-05-15,440.0,0.549534254,0.450465746,32.93744781
F,SS,2020-05-15,2020-06-19,5.5,0.711798747,0.288201253,0.316479746
AVGO,SS,2020-05-15,2020-06-19,28.0,0.699917294,0.300082706,1.300186088
MSTR,SS,2020-05-15,2020-06-19,12.0,0.617485314,0.382514686,0.484112455
F,SS,2020-06-19,2020-07-17,6.0,0.376080609,0.623919391,0.372780958
AVGO,SS,2020-06-19,2020-07-17,31.0,0.571040789,0.428959211,1.248714908
META,SS,2020-06-19,2020-07-17,245.0,0.591051861,0.408948139,8.766149572
F,SS,2020-07-17,2020-08-21,7.0,0.560346415,0.439653585,0.529525521
