,ticker,date,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate,return
0,AAPL,2023-01-20,75.0,77.45,0.01,1.0,1.0,77.46000000000001,2023-02-17,0.001161930028401592
1,AAPL,2023-02-17,75.0,80.0,0.01,1.0,1.0,80.01,2023-03-17,-0.0001249843769529635
2,AAPL,2023-03-17,85.0,82.41,0.01,1.0,1.0,82.42,2023-04-21,-0.029119093666585716
3,AAPL,2023-04-21,90.0,85.11,0.01,1.0,1.0,85.12,2023-05-19,0.0004699682800752836
4,AAPL,2023-05-19,90.0,95.0,0.01,1.0,1.0,95.01,2023-06-16,-0.0009472876539311503
5,AAPL,2023-06-16,95.0,96.5,0.01,1.0,1.0,96.51,2023-07-21,0.0044555217075950004
6,AAPL,2023-07-21,85.0,89.5,0.01,1.0,1.0,89.51,2023-08-18,-0.00022337727628207737
7,AAPL,2023-08-18,85.0,89.8,0.01,1.0,1.0,89.81,2023-09-15,0.002226862264781193
8,AAPL,2023-09-15,85.0,88.06,0.01,1.0,1.0,88.07000000000001,2023-10-20,-0.002157319177926831
9,AAPL,2023-10-20,95.0,94.8,0.01,1.0,1.0,94.81,2023-11-17,-0.001265663959498009
10,AAPL,2023-11-17,100.0,97.73,0.01,1.0,1.0,97.74000000000001,2023-12-15,-0.001739233681195218
11,AAPL,2023-12-15,95.0,94.76,0.01,1.0,1.0,94.77000000000001,2024-01-19,0.018887808378178716
12,AAPL,2024-01-19,95.0,87.15,0.01,1.0,1.0,87.16000000000001,2024-02-16,0.0017209453877924386
13,AAPL,2024-02-16,85.0,87.8,0.01,1.0,1.0,87.81,2024-03-15,-0.0021638184717001074
14,AAPL,2024-03-15,85.0,79.97,0.02,1.0,1.0,79.99,2024-04-19,0.0001250156269534397
15,AAPL,2024-04-19,95.0,88.85,0.01,1.0,1.0,88.86,2024-05-17,0.0676344260634707
16,AAPL,2024-05-17,105.0,105.3,0.01,1.0,1.0,105.31,2024-06-21,-0.026778031525971024
17,AAPL,2024-06-21,115.0,116.45,0.01,1.0,1.0,116.46000000000001,2024-07-19,-0.06139449081229609
18,AAPL,2024-07-19,105.0,109.14,0.01,1.0,1.0,109.15,2024-08-16,0.10902430691708642
19,AAPL,2024-08-16,115.0,114.31,0.01,1.0,1.0,114.32000000000001,2024-09-20,-0.009797087998600462
20,AAPL,2024-09-20,115.0,120.17,0.01,1.0,1.0,120.18,2024-10-18,-0.0014977533699451762
21,AAPL,2024-10-18,115.0,118.6,0.01,1.0,1.0,118.61,2024-11-15,-0.07259084394233206
22,AAPL,2024-11-15,125.0,123.45,0.01,1.0,1.0,123.46000000000001,2024-12-20,0.04884177466385853
23,AAPL,2024-12-20,115.0,114.23,0.01,1.0,1.0,114.24000000000001,2025-01-17,
24,AMD,2023-01-20,40.0,37.57,0.01,1.0,1.0,37.58,2023-02-17,0.02448110697179362
25,AMD,2023-02-17,50.0,47.75,0.01,1.0,1.0,47.76,2023-03-17,0.0016749652428811324
26,AMD,2023-03-17,45.0,43.6,0.01,1.0,1.0,43.61,2023-04-21,-0.004127486585645546
27,AMD,2023-04-21,55.0,50.95,0.01,1.0,1.0,50.96,2023-05-19,-0.002747258634222982
28,AMD,2023-05-19,60.0,60.4,0.01,1.0,1.0,60.41,2023-06-16,-0.005462641946697433
29,AMD,2023-06-16,55.0,56.3,0.01,1.0,1.0,56.309999999999995,2023-07-21,-0.006393235659740593
30,AMD,2023-07-21,50.0,55.3,0.01,1.0,1.0,55.309999999999995,2023-08-18,0.0025311318025673657
31,AMD,2023-08-18,50.0,51.45,0.01,1.0,1.0,51.46,2023-09-15,0.0005829362611737832
32,AMD,2023-09-15,50.0,51.8,0.01,1.0,1.0,51.809999999999995,2023-10-20,-4.6323103464196436e-08
33,AMD,2023-10-20,60.0,61.31,0.01,1.0,1.0,61.32,2023-11-17,-0.01141548108284407
34,AMD,2023-11-17,65.0,72.7,0.01,1.0,1.0,72.71000000000001,2023-12-15,0.019804619722183947
35,AMD,2023-12-15,85.0,85.95,0.44,1.0,1.0,86.39,2024-01-19,0.03287412547748558
36,AMD,2024-01-19,85.0,89.47,0.02,1.0,1.0,89.49,2024-02-16,-0.006928203151189916
37,AMD,2024-02-16,100.0,91.4,0.01,1.0,1.0,91.41000000000001,2024-03-15,-0.0038289290012034627
38,AMD,2024-03-15,75.0,70.75,0.01,1.0,1.0,70.76,2024-04-19,0.012436396269078331
39,AMD,2024-04-19,80.0,83.81,0.01,1.0,1.0,83.82000000000001,2024-05-17,0.007754726795514255
40,AMD,2024-05-17,80.0,80.95,0.01,1.0,1.0,80.96000000000001,2024-06-21,0.003334927124505782
41,AMD,2024-06-21,75.0,80.09,0.01,1.0,1.0,80.10000000000001,2024-07-19,-0.04394504619225992
42,AMD,2024-07-19,85.0,62.9,0.01,1.0,1.0,62.91,2024-08-16,0.010332182482912122
43,AMD,2024-08-16,75.0,79.17,0.01,1.0,1.0,79.18,2024-09-20,0.022354090679464367
44,AMD,2024-09-20,80.0,76.4,0.01,1.0,1.0,76.41000000000001,2024-10-18,-0.005758392880512941
45,AMD,2024-10-18,70.0,73.55,0.01,1.0,1.0,73.56,2024-11-15,-0.11772710848287116
46,AMD,2024-11-15,65.0,68.27,0.01,1.0,1.0,68.28,2024-12-20,-0.20606328207381364
47,AMD,2024-12-20,60.0,61.5,0.01,1.0,1.0,61.51,2025-01-17,
48,AMZN,2023-01-20,50.0,46.81,0.01,1.0,1.0,46.82,2023-02-17,0.008116124519436108
49,AMZN,2023-02-17,50.0,48.8,0.02,1.0,1.0,48.82,2023-03-17,0.0026627806226955375
50,AMZN,2023-03-17,55.0,52.65,0.01,1.0,1.0,52.66,2023-04-21,-0.013292838966957654
51,AMZN,2023-05-19,63.0,63.65,0.01,1.0,1.0,63.66,2023-06-16,-0.018378920829406065
52,AMZN,2023-06-16,65.0,64.0,0.01,1.0,1.0,64.01,2023-07-21,0.01546633338540837
53,AMZN,2023-07-21,65.0,68.35,0.01,1.0,1.0,68.36,2023-08-18,-0.0020479637214743107
54,AMZN,2023-08-18,72.5,72.4,0.01,1.0,1.0,72.41000000000001,2023-09-15,-0.06242232564562933
55,AMZN,2023-09-15,65.0,60.97,0.01,1.0,1.0,60.98,2023-10-20,-0.013283073138734003
56,AMZN,2023-12-15,72.5,73.2,0.01,1.0,1.0,73.21000000000001,2024-01-19,0.13153935664526695
57,AMZN,2024-01-19,85.0,85.18,0.01,1.0,1.0,85.19000000000001,2024-02-16,-0.007982222091794888
58,AMZN,2024-02-16,85.0,89.32,0.01,1.0,1.0,89.33,2024-03-15,0.0010074801298556313
59,AMZN,2024-03-15,85.0,89.29,0.01,1.0,1.0,89.30000000000001,2024-04-19,0.0036954636058228463
60,AMZN,2024-04-19,90.0,94.44,0.01,1.0,1.0,94.45,2024-05-17,0.0026468703017470396
61,AMZN,2024-05-17,94.0,93.75,0.05,1.0,1.0,93.8,2024-06-21,0.013646074626865623
62,AMZN,2024-06-21,90.0,93.11,0.02,1.0,1.0,93.13,2024-07-19,5.26146246571102e-08
63,AMZN,2024-07-19,90.0,87.84,0.01,1.0,1.0,87.85000000000001,2024-08-16,-0.008992628343767906
64,AMZN,2024-08-16,95.0,94.29,0.01,1.0,1.0,94.30000000000001,2024-09-20,0.024390308589607557
65,AMZN,2024-09-20,95.0,94.35,0.01,1.0,1.0,94.36,2024-10-18,-0.003921094743535414
66,AMZN,2024-10-18,100.0,100.4,0.01,1.0,1.0,100.41000000000001,2024-11-15,0.02191017428542974
67,AMZN,2024-11-15,110.0,114.61,0.01,1.0,1.0,114.62,2024-12-20,0.0026173285639505828
68,AVGO,2023-01-20,26.0,28.985000000000003,0.005,1.0,1.0,28.990000000000002,2023-02-17,0.1576060058640909
69,AVGO,2023-02-17,35.0,26.898000000000003,0.005,1.0,1.0,26.903000000000002,2023-03-17,0.04438167193249809
70,AVGO,2023-03-17,28.0,26.601999999999997,0.01,1.0,1.0,26.612,2023-04-21,0.32609352622876897
71,AVGO,2023-04-21,35.0,32.649,0.005,1.0,1.0,32.654,2023-05-19,0.017486325411894432
