option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:AAPL230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,109.15,110.9,109.15,110.6
O:AAPL230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,104.65,106.1,104.65,104.95
O:AAPL230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,99.55,100.7,98.9,100.7
O:AAPL230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,92.8,92.8,92.8,92.8
O:AAPL230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,87.95,88.75,87.95,88.75
O:AAPL230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,83.4,83.55,82.25,82.65
O:AAPL230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,78.15,78.55,77.43,77.45
O:AAPL230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,74.63,74.63,74.63,74.63
O:AAPL230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,68.5,68.6,68.27,68.27
O:AAPL230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,62.28,62.28,62.28,62.28
O:AAPL230217C00095000,2023-02-17,95.0,call,american,100,2023-01-20,61.0,61.0,61.0,61.0
O:AAPL230217C00100000,2023-02-17,100.0,call,american,100,2023-01-20,52.41,52.41,52.0,52.0
O:AAPL230217C00105000,2023-02-17,105.0,call,american,100,2023-01-20,48.04,48.04,48.04,48.04
O:AAPL230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,42.32,42.32,41.26,41.26
O:AAPL230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,36.25,36.25,36.25,36.25
O:AAPL230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,32.39,32.5,31.2,32.5
O:AAPL230217C00125000,2023-02-17,125.0,call,american,100,2023-01-20,27.8,27.8,26.45,27.12
O:AAPL230217C00130000,2023-02-17,130.0,call,american,100,2023-01-20,22.35,22.6,21.03,22.1
O:AAPL230217C00135000,2023-02-17,135.0,call,american,100,2023-01-20,17.55,17.72,16.0,17.3
O:AAPL230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,12.53,13.0,10.95,12.35
O:AAPL230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,7.42,7.9,5.9,7.4
O:AAPL230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,2.87,3.14,1.01,2.5
O:AAPL230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,0.18,0.36,0.01,0.01
O:AAPL230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:AAPL230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,0.01,0.04,0.01,0.01
O:AAPL230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AAPL230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
