option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:AMD230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,48.2,48.2,48.2,48.2
O:AMD230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,43.2,43.2,43.2,43.2
O:AMD230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,38.05,38.05,37.57,37.57
O:AMD230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,37.78,37.96,37.78,37.96
O:AMD230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,28.45,28.45,28.45,28.45
O:AMD230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,22.91,22.91,22.91,22.91
O:AMD230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,17.72,18.5,17.72,18.42
O:AMD230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,14.79,14.79,12.61,13.45
O:AMD230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,9.55,9.55,7.41,8.45
O:AMD230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,4.67,4.72,2.5,3.5
O:AMD230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,0.65,0.65,0.01,0.01
O:AMD230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,0.03,0.03,0.01,0.01
O:AMD230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217C00095000,2023-02-17,95.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217C00100000,2023-02-17,100.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217C00105000,2023-02-17,105.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:AMD230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217P00030000,2023-02-17,30.0,put,american,100,2023-01-20,0.04,0.04,0.04,0.04
O:AMD230217P00035000,2023-02-17,35.0,put,american,100,2023-01-20,0.05,0.05,0.03,0.03
O:AMD230217P00040000,2023-02-17,40.0,put,american,100,2023-01-20,0.05,0.05,0.01,0.01
O:AMD230217P00045000,2023-02-17,45.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217P00050000,2023-02-17,50.0,put,american,100,2023-01-20,,,,
O:AMD230217P00055000,2023-02-17,55.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217P00060000,2023-02-17,60.0,put,american,100,2023-01-20,0.01,0.05,0.01,0.05
O:AMD230217P00065000,2023-02-17,65.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217P00070000,2023-02-17,70.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMD230217P00075000,2023-02-17,75.0,put,american,100,2023-01-20,0.04,0.11,0.01,0.01
O:AMD230217P00080000,2023-02-17,80.0,put,american,100,2023-01-20,1.02,2.6,1.01,1.5
O:AMD230217P00085000,2023-02-17,85.0,put,american,100,2023-01-20,5.59,7.59,5.35,6.5
O:AMD230217P00090000,2023-02-17,90.0,put,american,100,2023-01-20,11.64,12.4,11.5,11.63
O:AMD230217P00095000,2023-02-17,95.0,put,american,100,2023-01-20,16.6,16.6,16.6,16.6
O:AMD230217P00100000,2023-02-17,100.0,put,american,100,2023-01-20,20.7,21.65,20.7,21.65
O:AMD230217P00105000,2023-02-17,105.0,put,american,100,2023-01-20,19.0,19.3,19.0,19.3
O:AMD230217P00110000,2023-02-17,110.0,put,american,100,2023-01-20,30.75,30.75,30.75,30.75
O:AMD230217P00115000,2023-02-17,115.0,put,american,100,2023-01-20,29.95,30.25,29.95,30.25
O:AMD230217P00120000,2023-02-17,120.0,put,american,100,2023-01-20,41.75,41.8,41.75,41.8
O:AMD230317C00025000,2023-03-17,25.0,call,american,100,2023-02-17,72.55,72.55,72.2,72.2
O:AMD230317C00030000,2023-03-17,30.0,call,american,100,2023-02-17,66.85,67.55,66.85,66.95
O:AMD230317C00035000,2023-03-17,35.0,call,american,100,2023-02-17,62.85,62.85,61.95,61.95
O:AMD230317C00040000,2023-03-17,40.0,call,american,100,2023-02-17,57.85,58.35,56.1,57.75
O:AMD230317C00045000,2023-03-17,45.0,call,american,100,2023-02-17,52.45,52.75,52.45,52.75
O:AMD230317C00050000,2023-03-17,50.0,call,american,100,2023-02-17,46.6,47.75,46.25,47.75
O:AMD230317C00055000,2023-03-17,55.0,call,american,100,2023-02-17,42.55,42.75,41.8,42.75
O:AMD230317C00060000,2023-03-17,60.0,call,american,100,2023-02-17,36.85,38.0,36.33,37.51
O:AMD230317C00065000,2023-03-17,65.0,call,american,100,2023-02-17,33.4,33.4,31.3,32.91
O:AMD230317C00070000,2023-03-17,70.0,call,american,100,2023-02-17,27.8,28.04,26.35,27.6
O:AMD230317C00075000,2023-03-17,75.0,call,american,100,2023-02-17,23.2,23.46,21.0,22.79
O:AMD230317C00080000,2023-03-17,80.0,call,american,100,2023-02-17,16.7,18.7,16.0,17.81
O:AMD230317C00085000,2023-03-17,85.0,call,american,100,2023-02-17,11.75,13.55,10.99,12.8
O:AMD230317C00090000,2023-03-17,90.0,call,american,100,2023-02-17,6.75,8.75,6.0,7.75
O:AMD230317C00095000,2023-03-17,95.0,call,american,100,2023-02-17,2.13,3.8,1.26,2.8
O:AMD230317C00100000,2023-03-17,100.0,call,american,100,2023-02-17,0.2,0.65,0.01,0.01
O:AMD230317C00105000,2023-03-17,105.0,call,american,100,2023-02-17,0.03,0.05,0.01,0.01
O:AMD230317C00110000,2023-03-17,110.0,call,american,100,2023-02-17,0.01,0.03,0.01,0.01
O:AMD230317C00115000,2023-03-17,115.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317C00120000,2023-03-17,120.0,call,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:AMD230317C00125000,2023-03-17,125.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317C00130000,2023-03-17,130.0,call,american,100,2023-02-17,,,,
O:AMD230317C00135000,2023-03-17,135.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317C00140000,2023-03-17,140.0,call,american,100,2023-02-17,0.03,0.03,0.01,0.01
O:AMD230317C00145000,2023-03-17,145.0,call,american,100,2023-02-17,0.02,0.02,0.02,0.02
O:AMD230317C00150000,2023-03-17,150.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317C00155000,2023-03-17,155.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317C00160000,2023-03-17,160.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317C00165000,2023-03-17,165.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317C00170000,2023-03-17,170.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00025000,2023-03-17,25.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00030000,2023-03-17,30.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00035000,2023-03-17,35.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00040000,2023-03-17,40.0,put,american,100,2023-02-17,0.01,0.03,0.01,0.03
O:AMD230317P00045000,2023-03-17,45.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00050000,2023-03-17,50.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00055000,2023-03-17,55.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00060000,2023-03-17,60.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00065000,2023-03-17,65.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:AMD230317P00070000,2023-03-17,70.0,put,american,100,2023-02-17,0.01,0.03,0.01,0.01
