option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:AMZN230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,50.85,52.12,50.85,52.04
O:AMZN230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,46.55,47.02,46.52,46.81
O:AMZN230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,41.8,41.85,41.8,41.85
O:AMZN230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,36.1,37.15,36.1,36.88
O:AMZN230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,31.05,31.85,31.05,31.85
O:AMZN230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,26.8,27.07,25.96,27.07
O:AMZN230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,20.89,22.25,20.89,22.25
O:AMZN230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,17.7,17.7,15.88,16.6
O:AMZN230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,12.1,12.31,10.7,12.0
O:AMZN230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,7.91,7.91,5.74,7.25
O:AMZN230217C00095000,2023-02-17,95.0,call,american,100,2023-01-20,3.0,3.11,0.82,2.23
O:AMZN230217C00100000,2023-02-17,100.0,call,american,100,2023-01-20,0.17,0.17,0.01,0.01
O:AMZN230217C00105000,2023-02-17,105.0,call,american,100,2023-01-20,0.02,0.03,0.01,0.01
O:AMZN230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,0.01,0.03,0.01,0.01
O:AMZN230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,0.01,0.03,0.01,0.01
O:AMZN230217C00125000,2023-02-17,125.0,call,american,100,2023-01-20,0.01,0.03,0.01,0.01
O:AMZN230217C00130000,2023-02-17,130.0,call,american,100,2023-01-20,0.03,0.03,0.01,0.01
O:AMZN230217C00135000,2023-02-17,135.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,0.07,0.07,0.01,0.01
O:AMZN230217C00180000,2023-02-17,180.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00185000,2023-02-17,185.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00190000,2023-02-17,190.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:AMZN230217C00195000,2023-02-17,195.0,call,american,100,2023-01-20,0.02,0.02,0.01,0.01
