option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:BABA230217C00007500,2023-02-17,7.5,call,american,100,2023-01-20,96.3,96.3,96.3,96.3
O:BABA230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,89.8,89.8,89.8,89.8
O:BABA230217C00012500,2023-02-17,12.5,call,american,100,2023-01-20,90.65,90.65,90.65,90.65
O:BABA230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,97.55,97.55,97.55,97.55
O:BABA230217C00017500,2023-02-17,17.5,call,american,100,2023-01-20,100.15,100.15,100.15,100.15
O:BABA230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,94.25,94.3,94.25,94.25
O:BABA230217C00022500,2023-02-17,22.5,call,american,100,2023-01-20,90.2,90.2,90.2,90.2
O:BABA230217C00025000,2023-02-17,25.0,call,american,100,2023-01-20,94.7,94.7,94.7,94.7
O:BABA230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,79.48,79.48,79.48,79.48
O:BABA230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,84.25,84.25,84.25,84.25
O:BABA230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,,,,
O:BABA230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,58.48,58.48,58.48,58.48
O:BABA230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,64.65,64.65,64.65,64.65
O:BABA230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,59.97,60.15,59.97,60.15
O:BABA230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,39.79,39.79,39.79,39.79
O:BABA230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,35.25,35.25,34.5,34.64
O:BABA230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,30.28,30.28,29.42,29.8
O:BABA230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,25.0,25.36,24.52,24.93
O:BABA230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,20.2,20.44,19.47,20.05
O:BABA230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,15.75,15.75,14.65,14.65
O:BABA230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,10.58,10.58,9.55,9.8
O:BABA230217C00095000,2023-02-17,95.0,call,american,100,2023-01-20,6.05,6.05,4.48,4.98
O:BABA230217C00100000,2023-02-17,100.0,call,american,100,2023-01-20,1.58,1.58,0.03,0.16
O:BABA230217C00105000,2023-02-17,105.0,call,american,100,2023-01-20,0.09,0.2,0.01,0.01
O:BABA230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,0.01,0.03,0.01,0.01
O:BABA230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,0.01,0.04,0.01,0.03
O:BABA230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,0.01,0.04,0.01,0.01
O:BABA230217C00125000,2023-02-17,125.0,call,american,100,2023-01-20,0.01,0.03,0.01,0.03
O:BABA230217C00130000,2023-02-17,130.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00135000,2023-02-17,135.0,call,american,100,2023-01-20,0.02,0.03,0.01,0.03
O:BABA230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,0.01,0.04,0.01,0.01
O:BABA230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00180000,2023-02-17,180.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217C00185000,2023-02-17,185.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217P00007500,2023-02-17,7.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217P00010000,2023-02-17,10.0,put,american,100,2023-01-20,,,,
O:BABA230217P00012500,2023-02-17,12.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,,,,
O:BABA230217P00017500,2023-02-17,17.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:BABA230217P00020000,2023-02-17,20.0,put,american,100,2023-01-20,,,,
O:BABA230217P00022500,2023-02-17,22.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
