option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:COIN230217C00002500,2023-02-17,2.5,call,american,100,2023-01-20,75.34,75.34,75.34,75.34
O:COIN230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,63.5,63.5,63.5,63.5
O:COIN230217C00007500,2023-02-17,7.5,call,american,100,2023-01-20,61.0,61.0,61.0,61.0
O:COIN230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,24.96,24.96,24.96,24.96
O:COIN230217C00012500,2023-02-17,12.5,call,american,100,2023-01-20,41.05,41.05,41.05,41.05
O:COIN230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,50.4,50.4,50.4,50.4
O:COIN230217C00017500,2023-02-17,17.5,call,american,100,2023-01-20,47.4,47.4,47.4,47.4
O:COIN230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,34.42,34.42,34.42,34.42
O:COIN230217C00022500,2023-02-17,22.5,call,american,100,2023-01-20,22.1,22.1,22.1,22.1
O:COIN230217C00025000,2023-02-17,25.0,call,american,100,2023-01-20,37.5,38.0,37.5,38.0
O:COIN230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,35.45,35.73,32.22,35.73
O:COIN230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,28.0,30.62,28.0,30.62
O:COIN230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,25.62,25.65,21.95,25.65
O:COIN230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,21.88,21.88,16.69,20.7
O:COIN230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,16.89,16.89,11.87,15.23
O:COIN230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,11.9,11.9,6.7,10.3
O:COIN230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,6.3,7.4,1.85,5.19
O:COIN230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,1.82,3.6,0.05,0.27
O:COIN230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,0.4,1.05,0.01,0.01
O:COIN230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,0.1,0.28,0.01,0.04
O:COIN230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,0.04,0.1,0.01,0.01
O:COIN230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,0.02,0.04,0.01,0.01
O:COIN230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00002500,2023-02-17,2.5,put,american,100,2023-01-20,,,,
O:COIN230217P00005000,2023-02-17,5.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00007500,2023-02-17,7.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00010000,2023-02-17,10.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00012500,2023-02-17,12.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00017500,2023-02-17,17.5,put,american,100,2023-01-20,,,,
O:COIN230217P00020000,2023-02-17,20.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00022500,2023-02-17,22.5,put,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:COIN230217P00025000,2023-02-17,25.0,put,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:COIN230217P00030000,2023-02-17,30.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00035000,2023-02-17,35.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00040000,2023-02-17,40.0,put,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:COIN230217P00045000,2023-02-17,45.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00050000,2023-02-17,50.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:COIN230217P00055000,2023-02-17,55.0,put,american,100,2023-01-20,0.05,0.05,0.01,0.01
O:COIN230217P00060000,2023-02-17,60.0,put,american,100,2023-01-20,0.35,0.46,0.01,0.01
O:COIN230217P00065000,2023-02-17,65.0,put,american,100,2023-01-20,1.77,3.5,0.09,0.09
O:COIN230217P00070000,2023-02-17,70.0,put,american,100,2023-01-20,5.25,8.37,3.2,4.7
O:COIN230217P00075000,2023-02-17,75.0,put,american,100,2023-01-20,7.5,13.2,7.5,9.6
O:COIN230217P00080000,2023-02-17,80.0,put,american,100,2023-01-20,15.55,17.93,14.55,14.85
O:COIN230217P00085000,2023-02-17,85.0,put,american,100,2023-01-20,20.6,22.8,19.48,19.48
O:COIN230217P00090000,2023-02-17,90.0,put,american,100,2023-01-20,27.95,27.95,24.3,24.3
O:COIN230317C00002500,2023-03-17,2.5,call,american,100,2023-02-17,51.9,51.9,51.9,51.9
O:COIN230317C00005000,2023-03-17,5.0,call,american,100,2023-02-17,59.0,59.0,59.0,59.0
O:COIN230317C00007500,2023-03-17,7.5,call,american,100,2023-02-17,52.96,52.96,52.96,52.96
O:COIN230317C00010000,2023-03-17,10.0,call,american,100,2023-02-17,55.1,55.1,55.1,55.1
O:COIN230317C00012500,2023-03-17,12.5,call,american,100,2023-02-17,39.59,46.11,39.59,46.11
O:COIN230317C00015000,2023-03-17,15.0,call,american,100,2023-02-17,57.7,57.7,57.7,57.7
O:COIN230317C00017500,2023-03-17,17.5,call,american,100,2023-02-17,41.61,41.9,41.61,41.9
O:COIN230317C00020000,2023-03-17,20.0,call,american,100,2023-02-17,52.1,52.1,52.1,52.1
O:COIN230317C00022500,2023-03-17,22.5,call,american,100,2023-02-17,40.75,41.3,40.75,41.3
O:COIN230317C00025000,2023-03-17,25.0,call,american,100,2023-02-17,40.34,40.35,40.34,40.35
O:COIN230317C00030000,2023-03-17,30.0,call,american,100,2023-02-17,42.52,42.52,42.52,42.52
O:COIN230317C00035000,2023-03-17,35.0,call,american,100,2023-02-17,37.3,40.51,37.29,40.51
O:COIN230317C00040000,2023-03-17,40.0,call,american,100,2023-02-17,30.4,34.48,30.04,34.37
O:COIN230317C00045000,2023-03-17,45.0,call,american,100,2023-02-17,26.0,30.86,25.1,30.86
O:COIN230317C00050000,2023-03-17,50.0,call,american,100,2023-02-17,20.16,25.97,19.8,25.29
O:COIN230317C00055000,2023-03-17,55.0,call,american,100,2023-02-17,15.19,21.18,14.43,20.02
O:COIN230317C00060000,2023-03-17,60.0,call,american,100,2023-02-17,10.25,16.55,9.1,14.9
O:COIN230317C00065000,2023-03-17,65.0,call,american,100,2023-02-17,5.6,11.5,4.5,9.96
O:COIN230317C00070000,2023-03-17,70.0,call,american,100,2023-02-17,1.69,6.65,1.07,5.0
O:COIN230317C00075000,2023-03-17,75.0,call,american,100,2023-02-17,,,,
O:COIN230317C00080000,2023-03-17,80.0,call,american,100,2023-02-17,0.06,0.15,0.01,0.01
O:COIN230317C00085000,2023-03-17,85.0,call,american,100,2023-02-17,0.02,0.04,0.01,0.01
O:COIN230317C00090000,2023-03-17,90.0,call,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:COIN230317C00095000,2023-03-17,95.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00100000,2023-03-17,100.0,call,american,100,2023-02-17,0.02,0.02,0.01,0.01
O:COIN230317C00105000,2023-03-17,105.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00110000,2023-03-17,110.0,call,american,100,2023-02-17,0.02,0.02,0.01,0.01
O:COIN230317C00115000,2023-03-17,115.0,call,american,100,2023-02-17,0.02,0.02,0.02,0.02
O:COIN230317C00120000,2023-03-17,120.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00125000,2023-03-17,125.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00130000,2023-03-17,130.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00135000,2023-03-17,135.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00140000,2023-03-17,140.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00145000,2023-03-17,145.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00150000,2023-03-17,150.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00155000,2023-03-17,155.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00160000,2023-03-17,160.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00165000,2023-03-17,165.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317C00170000,2023-03-17,170.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00002500,2023-03-17,2.5,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00005000,2023-03-17,5.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00007500,2023-03-17,7.5,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00010000,2023-03-17,10.0,put,american,100,2023-02-17,0.02,0.03,0.01,0.01
O:COIN230317P00012500,2023-03-17,12.5,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00015000,2023-03-17,15.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00017500,2023-03-17,17.5,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00020000,2023-03-17,20.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00022500,2023-03-17,22.5,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00025000,2023-03-17,25.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00030000,2023-03-17,30.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00035000,2023-03-17,35.0,put,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:COIN230317P00040000,2023-03-17,40.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00045000,2023-03-17,45.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00050000,2023-03-17,50.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:COIN230317P00055000,2023-03-17,55.0,put,american,100,2023-02-17,0.06,0.11,0.01,0.01
O:COIN230317P00060000,2023-03-17,60.0,put,american,100,2023-02-17,,,,
O:COIN230317P00065000,2023-03-17,65.0,put,american,100,2023-02-17,0.22,0.27,0.01,0.01
O:COIN230317P00070000,2023-03-17,70.0,put,american,100,2023-02-17,1.5,1.86,0.01,0.01
O:COIN230317P00075000,2023-03-17,75.0,put,american,100,2023-02-17,5.1,5.85,0.05,0.27
O:COIN230317P00080000,2023-03-17,80.0,put,american,100,2023-02-17,9.69,9.69,3.5,3.5
O:COIN230317P00085000,2023-03-17,85.0,put,american,100,2023-02-17,13.5,13.5,8.56,8.56
O:COIN230317P00090000,2023-03-17,90.0,put,american,100,2023-02-17,,,,
O:COIN230317P00095000,2023-03-17,95.0,put,american,100,2023-02-17,20.0,20.0,20.0,20.0
O:COIN230317P00100000,2023-03-17,100.0,put,american,100,2023-02-17,29.0,29.0,24.0,24.0
O:COIN230317P00105000,2023-03-17,105.0,put,american,100,2023-02-17,30.46,30.46,30.46,30.46
O:COIN230317P00110000,2023-03-17,110.0,put,american,100,2023-02-17,34.7,34.7,34.2,34.2
O:COIN230317P00115000,2023-03-17,115.0,put,american,100,2023-02-17,53.31,53.31,53.31,53.31
O:COIN230317P00120000,2023-03-17,120.0,put,american,100,2023-02-17,56.09,56.09,56.09,56.09
O:COIN230317P00125000,2023-03-17,125.0,put,american,100,2023-02-17,58.1,58.1,55.75,55.75
O:COIN230317P00130000,2023-03-17,130.0,put,american,100,2023-02-17,65.5,65.5,65.5,65.5
O:COIN230317P00135000,2023-03-17,135.0,put,american,100,2023-02-17,78.42,78.42,78.42,78.42
O:COIN230317P00140000,2023-03-17,140.0,put,american,100,2023-02-17,75.38,75.38,75.38,75.38
O:COIN230317P00145000,2023-03-17,145.0,put,american,100,2023-02-17,76.5,76.5,76.5,76.5
O:COIN230317P00150000,2023-03-17,150.0,put,american,100,2023-02-17,81.2,81.2,81.2,81.2
O:COIN230317P00155000,2023-03-17,155.0,put,american,100,2023-02-17,84.55,84.55,84.55,84.55
O:COIN230317P00160000,2023-03-17,160.0,put,american,100,2023-02-17,87.45,87.45,87.45,87.45
O:COIN230317P00165000,2023-03-17,165.0,put,american,100,2023-02-17,121.56,121.56,121.56,121.56
O:COIN230317P00170000,2023-03-17,170.0,put,american,100,2023-02-17,102.2,102.2,102.2,102.2
O:COIN230421C00002500,2023-04-21,2.5,call,american,100,2023-03-17,64.69,64.69,64.69,64.69
O:COIN230421C00005000,2023-04-21,5.0,call,american,100,2023-03-17,63.15,63.15,63.15,63.15
O:COIN230421C00007500,2023-04-21,7.5,call,american,100,2023-03-17,54.0,54.0,54.0,54.0
O:COIN230421C00010000,2023-04-21,10.0,call,american,100,2023-03-17,59.65,59.65,59.65,59.65
O:COIN230421C00012500,2023-04-21,12.5,call,american,100,2023-03-17,,,,
O:COIN230421C00015000,2023-04-21,15.0,call,american,100,2023-03-17,52.5,52.5,52.5,52.5
O:COIN230421C00017500,2023-04-21,17.5,call,american,100,2023-03-17,45.5,45.5,45.5,45.5
O:COIN230421C00020000,2023-04-21,20.0,call,american,100,2023-03-17,50.5,50.5,49.65,49.65
O:COIN230421C00022500,2023-04-21,22.5,call,american,100,2023-03-17,38.75,38.75,38.75,38.75
O:COIN230421C00025000,2023-04-21,25.0,call,american,100,2023-03-17,42.2,42.2,42.2,42.2
O:COIN230421C00030000,2023-04-21,30.0,call,american,100,2023-03-17,29.7,29.7,29.7,29.7
O:COIN230421C00035000,2023-04-21,35.0,call,american,100,2023-03-17,34.35,34.35,34.35,34.35
O:COIN230421C00040000,2023-04-21,40.0,call,american,100,2023-03-17,19.65,20.21,19.65,20.21
O:COIN230421C00045000,2023-04-21,45.0,call,american,100,2023-03-17,,,,
O:COIN230421C00050000,2023-04-21,50.0,call,american,100,2023-03-17,10.98,10.98,9.1,9.1
O:COIN230421C00055000,2023-04-21,55.0,call,american,100,2023-03-17,6.1,6.19,4.11,4.11
