option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:F230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,8.7,8.7,8.47,8.47
O:F230217C00006000,2023-02-17,6.0,call,american,100,2023-01-20,7.55,7.55,7.55,7.55
O:F230217C00007000,2023-02-17,7.0,call,american,100,2023-01-20,6.65,6.65,6.5,6.5
O:F230217C00008000,2023-02-17,8.0,call,american,100,2023-01-20,5.65,5.65,5.45,5.45
O:F230217C00009000,2023-02-17,9.0,call,american,100,2023-01-20,4.65,4.75,4.6,4.6
O:F230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,3.6,3.9,3.4,3.47
O:F230217C00011000,2023-02-17,11.0,call,american,100,2023-01-20,2.65,2.87,2.43,2.47
O:F230217C00012000,2023-02-17,12.0,call,american,100,2023-01-20,1.68,1.9,1.43,1.46
O:F230217C00013000,2023-02-17,13.0,call,american,100,2023-01-20,0.71,0.94,0.46,0.5
O:F230217C00014000,2023-02-17,14.0,call,american,100,2023-01-20,0.14,0.22,0.08,0.1
O:F230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,0.03,0.04,0.01,0.02
O:F230217C00016000,2023-02-17,16.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:F230217C00017000,2023-02-17,17.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:F230217C00018000,2023-02-17,18.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:F230217C00019000,2023-02-17,19.0,call,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:F230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:F230217C00021000,2023-02-17,21.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:F230217C00022000,2023-02-17,22.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:F230217P00005000,2023-02-17,5.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:F230217P00006000,2023-02-17,6.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:F230217P00007000,2023-02-17,7.0,put,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:F230217P00008000,2023-02-17,8.0,put,american,100,2023-01-20,,,,
O:F230217P00009000,2023-02-17,9.0,put,american,100,2023-01-20,0.01,0.02,0.01,0.02
O:F230217P00010000,2023-02-17,10.0,put,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:F230217P00011000,2023-02-17,11.0,put,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:F230217P00012000,2023-02-17,12.0,put,american,100,2023-01-20,0.03,0.04,0.01,0.03
O:F230217P00013000,2023-02-17,13.0,put,american,100,2023-01-20,0.14,0.2,0.08,0.18
O:F230217P00014000,2023-02-17,14.0,put,american,100,2023-01-20,,,,
O:F230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,1.52,1.69,1.3,1.69
O:F230217P00016000,2023-02-17,16.0,put,american,100,2023-01-20,3.18,3.18,3.18,3.18
O:F230217P00017000,2023-02-17,17.0,put,american,100,2023-01-20,3.53,3.53,3.53,3.53
O:F230217P00018000,2023-02-17,18.0,put,american,100,2023-01-20,4.45,4.45,4.45,4.45
O:F230217P00019000,2023-02-17,19.0,put,american,100,2023-01-20,6.3,6.3,6.3,6.3
O:F230217P00020000,2023-02-17,20.0,put,american,100,2023-01-20,6.45,6.45,6.45,6.45
O:F230217P00021000,2023-02-17,21.0,put,american,100,2023-01-20,8.1,8.1,8.1,8.1
O:F230217P00022000,2023-02-17,22.0,put,american,100,2023-01-20,9.38,9.38,9.38,9.38
O:F230317C00002350,2023-03-17,2.35,call,american,100,2023-02-17,9.55,9.55,9.55,9.55
O:F230317C00003350,2023-03-17,3.35,call,american,100,2023-02-17,8.53,8.53,8.44,8.44
O:F230317C00004350,2023-03-17,4.35,call,american,100,2023-02-17,7.45,7.45,7.45,7.45
O:F230317C00005350,2023-03-17,5.35,call,american,100,2023-02-17,5.77,5.77,5.77,5.77
O:F230317C00006350,2023-03-17,6.35,call,american,100,2023-02-17,4.8,4.86,4.8,4.86
O:F230317C00007350,2023-03-17,7.35,call,american,100,2023-02-17,3.93,3.93,3.76,3.85
O:F230317C00008350,2023-03-17,8.35,call,american,100,2023-02-17,2.94,2.94,2.83,2.94
O:F230317C00009350,2023-03-17,9.35,call,american,100,2023-02-17,2.28,2.28,1.8,1.97
O:F230317C00010350,2023-03-17,10.35,call,american,100,2023-02-17,1.37,1.37,0.8,0.96
O:F230317C00011350,2023-03-17,11.35,call,american,100,2023-02-17,0.37,0.5,0.01,0.01
O:F230317C00012350,2023-03-17,12.35,call,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:F230317C00013350,2023-03-17,13.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00014350,2023-03-17,14.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00015350,2023-03-17,15.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00016350,2023-03-17,16.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00017350,2023-03-17,17.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00018350,2023-03-17,18.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00019350,2023-03-17,19.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00020350,2023-03-17,20.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:F230317C00021350,2023-03-17,21.35,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
