option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:GOOGL230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,85.2,86.97,85.2,86.97
O:GOOGL230217C00012500,2023-02-17,12.5,call,american,100,2023-01-20,,,,
O:GOOGL230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,,,,
O:GOOGL230217C00017500,2023-02-17,17.5,call,american,100,2023-01-20,,,,
O:GOOGL230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,,,,
O:GOOGL230217C00022500,2023-02-17,22.5,call,american,100,2023-01-20,,,,
O:GOOGL230217C00025000,2023-02-17,25.0,call,american,100,2023-01-20,,,,
O:GOOGL230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,58.95,58.95,58.95,58.95
O:GOOGL230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,,,,
O:GOOGL230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,62.7,62.7,62.7,62.7
O:GOOGL230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,,,,
O:GOOGL230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,46.95,46.95,46.8,46.8
O:GOOGL230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,32.25,32.25,32.25,32.25
O:GOOGL230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,34.14,34.14,34.14,34.14
O:GOOGL230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,41.55,41.55,41.55,41.55
O:GOOGL230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,24.23,24.45,24.0,24.45
O:GOOGL230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,19.37,19.37,19.37,19.37
O:GOOGL230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,14.0,14.55,13.77,14.5
O:GOOGL230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,10.07,10.07,8.1,8.45
O:GOOGL230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,4.95,5.85,3.3,4.3
O:GOOGL230217C00095000,2023-02-17,95.0,call,american,100,2023-01-20,0.63,1.0,0.01,0.01
O:GOOGL230217C00100000,2023-02-17,100.0,call,american,100,2023-01-20,0.03,0.12,0.01,0.01
O:GOOGL230217C00105000,2023-02-17,105.0,call,american,100,2023-01-20,0.01,0.04,0.01,0.01
O:GOOGL230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,0.01,0.02,0.01,0.02
O:GOOGL230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00125000,2023-02-17,125.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00130000,2023-02-17,130.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00135000,2023-02-17,135.0,call,american,100,2023-01-20,0.01,0.04,0.01,0.04
O:GOOGL230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:GOOGL230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:GOOGL230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,0.05,0.1,0.05,0.1
O:GOOGL230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,0.11,0.11,0.02,0.02
O:GOOGL230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,0.05,0.05,0.05,0.05
O:GOOGL230217C00180000,2023-02-17,180.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00185000,2023-02-17,185.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00190000,2023-02-17,190.0,call,american,100,2023-01-20,0.04,0.04,0.04,0.04
O:GOOGL230217C00195000,2023-02-17,195.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00200000,2023-02-17,200.0,call,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:GOOGL230217C00205000,2023-02-17,205.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00210000,2023-02-17,210.0,call,american,100,2023-01-20,0.07,0.07,0.07,0.07
O:GOOGL230217C00215000,2023-02-17,215.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:GOOGL230217C00220000,2023-02-17,220.0,call,american,100,2023-01-20,0.06,0.06,0.06,0.06
O:GOOGL230217C00225000,2023-02-17,225.0,call,american,100,2023-01-20,,,,
O:GOOGL230217C00230000,2023-02-17,230.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
