option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:INTC230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,13.65,13.7,13.64,13.69
O:INTC230217C00016000,2023-02-17,16.0,call,american,100,2023-01-20,12.7,12.71,12.7,12.71
O:INTC230217C00017000,2023-02-17,17.0,call,american,100,2023-01-20,13.3,13.3,13.3,13.3
O:INTC230217C00018000,2023-02-17,18.0,call,american,100,2023-01-20,10.4,10.4,10.4,10.4
O:INTC230217C00019000,2023-02-17,19.0,call,american,100,2023-01-20,9.7,9.73,9.68,9.68
O:INTC230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,7.69,7.69,7.69,7.69
O:INTC230217C00021000,2023-02-17,21.0,call,american,100,2023-01-20,9.19,9.35,9.15,9.35
O:INTC230217C00022000,2023-02-17,22.0,call,american,100,2023-01-20,5.41,5.47,5.41,5.47
O:INTC230217C00023000,2023-02-17,23.0,call,american,100,2023-01-20,5.33,5.33,5.25,5.25
O:INTC230217C00024000,2023-02-17,24.0,call,american,100,2023-01-20,4.25,4.55,4.25,4.55
O:INTC230217C00025000,2023-02-17,25.0,call,american,100,2023-01-20,2.93,2.93,2.93,2.93
O:INTC230217C00026000,2023-02-17,26.0,call,american,100,2023-01-20,1.46,1.68,1.46,1.64
O:INTC230217C00027000,2023-02-17,27.0,call,american,100,2023-01-20,0.94,0.94,0.4,0.6
O:INTC230217C00028000,2023-02-17,28.0,call,american,100,2023-01-20,0.21,0.23,0.01,0.01
O:INTC230217C00029000,2023-02-17,29.0,call,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:INTC230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,0.03,0.03,0.01,0.01
O:INTC230217C00031000,2023-02-17,31.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00032000,2023-02-17,32.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00033000,2023-02-17,33.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00034000,2023-02-17,34.0,call,american,100,2023-01-20,0.01,0.02,0.01,0.02
O:INTC230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00036000,2023-02-17,36.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00037000,2023-02-17,37.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00038000,2023-02-17,38.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00039000,2023-02-17,39.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:INTC230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217P00016000,2023-02-17,16.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217P00017000,2023-02-17,17.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217P00018000,2023-02-17,18.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:INTC230217P00019000,2023-02-17,19.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
