option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:MARA230217C00000500,2023-02-17,0.5,call,american,100,2023-01-20,6.9,6.9,6.9,6.9
O:MARA230217C00001000,2023-02-17,1.0,call,american,100,2023-01-20,6.0,6.0,6.0,6.0
O:MARA230217C00001500,2023-02-17,1.5,call,american,100,2023-01-20,3.95,3.95,3.95,3.95
O:MARA230217C00002000,2023-02-17,2.0,call,american,100,2023-01-20,6.2,6.2,6.2,6.2
O:MARA230217C00002500,2023-02-17,2.5,call,american,100,2023-01-20,4.85,5.44,4.85,5.44
O:MARA230217C00003000,2023-02-17,3.0,call,american,100,2023-01-20,4.35,4.6,4.35,4.6
O:MARA230217C00003500,2023-02-17,3.5,call,american,100,2023-01-20,3.85,4.15,3.85,4.15
O:MARA230217C00004000,2023-02-17,4.0,call,american,100,2023-01-20,2.92,4.0,2.92,3.95
O:MARA230217C00004500,2023-02-17,4.5,call,american,100,2023-01-20,2.92,2.92,2.92,2.92
O:MARA230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,2.47,2.76,2.05,2.76
O:MARA230217C00005500,2023-02-17,5.5,call,american,100,2023-01-20,1.71,2.26,1.71,2.18
O:MARA230217C00006000,2023-02-17,6.0,call,american,100,2023-01-20,1.38,1.87,1.09,1.72
O:MARA230217C00007500,2023-02-17,7.5,call,american,100,2023-01-20,0.39,0.39,0.03,0.24
O:MARA230217C00009000,2023-02-17,9.0,call,american,100,2023-01-20,0.04,0.04,0.01,0.01
O:MARA230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217C00011000,2023-02-17,11.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217C00012000,2023-02-17,12.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217C00012500,2023-02-17,12.5,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217C00013000,2023-02-17,13.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217C00014000,2023-02-17,14.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00000500,2023-02-17,0.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00001000,2023-02-17,1.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00001500,2023-02-17,1.5,put,american,100,2023-01-20,,,,
O:MARA230217P00002000,2023-02-17,2.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00002500,2023-02-17,2.5,put,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:MARA230217P00003000,2023-02-17,3.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00003500,2023-02-17,3.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00004000,2023-02-17,4.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00004500,2023-02-17,4.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00005000,2023-02-17,5.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MARA230217P00005500,2023-02-17,5.5,put,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:MARA230217P00006000,2023-02-17,6.0,put,american,100,2023-01-20,0.02,0.03,0.01,0.01
O:MARA230217P00007500,2023-02-17,7.5,put,american,100,2023-01-20,0.34,0.53,0.01,0.01
O:MARA230217P00009000,2023-02-17,9.0,put,american,100,2023-01-20,1.5,1.92,1.18,1.39
O:MARA230217P00010000,2023-02-17,10.0,put,american,100,2023-01-20,2.7,2.78,2.21,2.36
O:MARA230217P00011000,2023-02-17,11.0,put,american,100,2023-01-20,3.79,3.79,3.3,3.3
O:MARA230217P00012000,2023-02-17,12.0,put,american,100,2023-01-20,4.85,4.85,4.2,4.2
O:MARA230217P00012500,2023-02-17,12.5,put,american,100,2023-01-20,6.18,6.18,6.18,6.18
O:MARA230217P00013000,2023-02-17,13.0,put,american,100,2023-01-20,4.88,4.9,4.88,4.9
O:MARA230217P00014000,2023-02-17,14.0,put,american,100,2023-01-20,6.39,6.4,6.39,6.4
O:MARA230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,7.25,7.25,7.25,7.25
O:MARA230317C00000500,2023-03-17,0.5,call,american,100,2023-02-17,6.85,6.85,6.5,6.5
O:MARA230317C00001000,2023-03-17,1.0,call,american,100,2023-02-17,6.3,6.35,5.95,6.0
O:MARA230317C00001500,2023-03-17,1.5,call,american,100,2023-02-17,6.1,6.1,6.1,6.1
O:MARA230317C00002000,2023-03-17,2.0,call,american,100,2023-02-17,6.27,6.27,6.27,6.27
O:MARA230317C00002500,2023-03-17,2.5,call,american,100,2023-02-17,5.7,5.96,5.7,5.96
O:MARA230317C00003000,2023-03-17,3.0,call,american,100,2023-02-17,4.25,4.35,4.1,4.35
O:MARA230317C00003500,2023-03-17,3.5,call,american,100,2023-02-17,2.95,3.79,2.95,3.75
O:MARA230317C00004000,2023-03-17,4.0,call,american,100,2023-02-17,4.25,4.35,3.85,4.2
O:MARA230317C00004500,2023-03-17,4.5,call,american,100,2023-02-17,3.9,3.9,3.4,3.85
O:MARA230317C00005000,2023-03-17,5.0,call,american,100,2023-02-17,3.4,3.45,2.8,3.2
O:MARA230317C00005500,2023-03-17,5.5,call,american,100,2023-02-17,2.95,2.98,2.21,2.85
O:MARA230317C00006000,2023-03-17,6.0,call,american,100,2023-02-17,2.18,2.5,1.73,2.26
O:MARA230317C00007500,2023-03-17,7.5,call,american,100,2023-02-17,0.94,1.05,0.27,0.7
O:MARA230317C00009000,2023-03-17,9.0,call,american,100,2023-02-17,0.06,0.11,0.01,0.01
O:MARA230317C00010000,2023-03-17,10.0,call,american,100,2023-02-17,0.03,0.03,0.01,0.01
O:MARA230317C00011000,2023-03-17,11.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:MARA230317C00012500,2023-03-17,12.5,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:MARA230317C00015000,2023-03-17,15.0,call,american,100,2023-02-17,,,,
