option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:META230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,165.5,165.5,165.5,165.5
O:META230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,162.0,162.0,161.1,161.1
O:META230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,156.4,156.85,156.3,156.85
O:META230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,154.8,154.8,154.8,154.8
O:META230217C00022500,2023-02-17,22.5,call,american,100,2023-01-20,101.96,101.96,101.96,101.96
O:META230217C00025000,2023-02-17,25.0,call,american,100,2023-01-20,115.01,115.01,115.01,115.01
O:META230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,95.45,95.45,95.45,95.45
O:META230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,89.15,89.15,89.15,89.15
O:META230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,84.35,84.35,84.35,84.35
O:META230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,149.01,149.01,148.86,148.86
O:META230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,120.99,121.5,120.99,121.5
O:META230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,126.5,126.5,126.5,126.5
O:META230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,111.0,111.0,111.0,111.0
O:META230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,107.65,107.65,107.65,107.65
O:META230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,100.47,100.47,100.47,100.47
O:META230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,110.14,110.14,110.14,110.14
O:META230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,109.9,109.9,109.9,109.9
O:META230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,88.35,89.32,88.35,89.32
O:META230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,81.5,82.45,81.5,82.45
O:META230217C00095000,2023-02-17,95.0,call,american,100,2023-01-20,76.48,77.15,75.23,77.15
O:META230217C00100000,2023-02-17,100.0,call,american,100,2023-01-20,71.35,72.0,70.3,71.55
O:META230217C00105000,2023-02-17,105.0,call,american,100,2023-01-20,65.76,67.45,65.61,67.45
O:META230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,61.36,62.3,60.28,62.3
O:META230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,56.48,58.6,55.4,58.6
O:META230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,50.85,53.22,50.35,52.97
O:META230217C00125000,2023-02-17,125.0,call,american,100,2023-01-20,46.12,48.14,45.25,48.14
O:META230217C00130000,2023-02-17,130.0,call,american,100,2023-01-20,41.05,42.73,40.5,42.7
O:META230217C00135000,2023-02-17,135.0,call,american,100,2023-01-20,36.66,38.1,35.4,38.1
O:META230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,30.3,33.0,30.0,32.98
O:META230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,27.27,28.29,25.2,28.29
O:META230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,20.25,24.25,20.0,23.55
O:META230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,15.7,18.26,15.1,18.25
O:META230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,11.0,13.5,10.09,13.5
O:META230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,5.0,8.1,5.0,8.0
O:META230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,1.57,3.19,0.65,3.05
O:META230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,0.16,0.46,0.01,0.01
O:META230217C00180000,2023-02-17,180.0,call,american,100,2023-01-20,0.02,0.05,0.01,0.01
O:META230217C00185000,2023-02-17,185.0,call,american,100,2023-01-20,0.03,0.3,0.01,0.01
O:META230217C00190000,2023-02-17,190.0,call,american,100,2023-01-20,0.01,0.09,0.01,0.01
O:META230217C00195000,2023-02-17,195.0,call,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:META230217C00200000,2023-02-17,200.0,call,american,100,2023-01-20,0.01,0.04,0.01,0.01
O:META230217C00205000,2023-02-17,205.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
