option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:MSFT230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,149.6,149.6,146.85,148.25
O:MSFT230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,142.15,142.7,141.55,142.5
O:MSFT230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,137.65,138.25,137.4,137.45
O:MSFT230217C00125000,2023-02-17,125.0,call,american,100,2023-01-20,148.13,148.13,148.13,148.13
O:MSFT230217C00130000,2023-02-17,130.0,call,american,100,2023-01-20,140.2,143.25,139.9,142.8
O:MSFT230217C00135000,2023-02-17,135.0,call,american,100,2023-01-20,137.95,137.95,137.25,137.25
O:MSFT230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,105.33,105.33,105.33,105.33
O:MSFT230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,123.71,123.71,123.71,123.71
O:MSFT230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,107.79,107.79,107.79,107.79
O:MSFT230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,117.6,118.15,117.15,117.85
O:MSFT230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,111.0,114.38,111.0,113.01
O:MSFT230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,108.03,108.03,108.03,108.03
O:MSFT230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,86.86,86.86,86.86,86.86
O:MSFT230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,97.4,97.5,97.4,97.5
O:MSFT230217C00180000,2023-02-17,180.0,call,american,100,2023-01-20,89.91,89.91,88.0,88.2
O:MSFT230217C00185000,2023-02-17,185.0,call,american,100,2023-01-20,88.0,88.0,87.35,87.35
O:MSFT230217C00190000,2023-02-17,190.0,call,american,100,2023-01-20,75.46,75.46,75.46,75.46
O:MSFT230217C00195000,2023-02-17,195.0,call,american,100,2023-01-20,62.42,62.42,62.42,62.42
O:MSFT230217C00200000,2023-02-17,200.0,call,american,100,2023-01-20,57.73,57.73,56.52,56.52
O:MSFT230217C00205000,2023-02-17,205.0,call,american,100,2023-01-20,67.7,68.35,67.35,68.35
O:MSFT230217C00210000,2023-02-17,210.0,call,american,100,2023-01-20,46.8,47.05,45.45,46.66
O:MSFT230217C00215000,2023-02-17,215.0,call,american,100,2023-01-20,52.97,52.97,52.61,52.61
O:MSFT230217C00220000,2023-02-17,220.0,call,american,100,2023-01-20,37.06,37.95,36.65,37.95
O:MSFT230217C00225000,2023-02-17,225.0,call,american,100,2023-01-20,32.3,32.3,31.85,31.85
O:MSFT230217C00230000,2023-02-17,230.0,call,american,100,2023-01-20,28.15,28.15,27.43,27.5
O:MSFT230217C00235000,2023-02-17,235.0,call,american,100,2023-01-20,21.3,22.61,21.3,22.61
O:MSFT230217C00240000,2023-02-17,240.0,call,american,100,2023-01-20,16.75,18.71,16.4,18.4
O:MSFT230217C00245000,2023-02-17,245.0,call,american,100,2023-01-20,14.52,14.52,11.15,12.4
O:MSFT230217C00250000,2023-02-17,250.0,call,american,100,2023-01-20,,,,
O:MSFT230217C00255000,2023-02-17,255.0,call,american,100,2023-01-20,3.8,3.95,1.5,3.25
O:MSFT230217C00260000,2023-02-17,260.0,call,american,100,2023-01-20,1.42,1.48,0.01,0.01
O:MSFT230217C00265000,2023-02-17,265.0,call,american,100,2023-01-20,0.17,0.24,0.01,0.01
O:MSFT230217C00270000,2023-02-17,270.0,call,american,100,2023-01-20,0.04,0.22,0.01,0.01
O:MSFT230217C00275000,2023-02-17,275.0,call,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:MSFT230217C00280000,2023-02-17,280.0,call,american,100,2023-01-20,,,,
O:MSFT230217C00285000,2023-02-17,285.0,call,american,100,2023-01-20,0.01,0.06,0.01,0.01
O:MSFT230217C00290000,2023-02-17,290.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00295000,2023-02-17,295.0,call,american,100,2023-01-20,0.03,0.11,0.01,0.11
O:MSFT230217C00300000,2023-02-17,300.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00305000,2023-02-17,305.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00310000,2023-02-17,310.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00315000,2023-02-17,315.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00320000,2023-02-17,320.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:MSFT230217C00325000,2023-02-17,325.0,call,american,100,2023-01-20,0.01,0.03,0.01,0.01
O:MSFT230217C00330000,2023-02-17,330.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00335000,2023-02-17,335.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00340000,2023-02-17,340.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00345000,2023-02-17,345.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00350000,2023-02-17,350.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00355000,2023-02-17,355.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00360000,2023-02-17,360.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00370000,2023-02-17,370.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00380000,2023-02-17,380.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:MSFT230217C00390000,2023-02-17,390.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00400000,2023-02-17,400.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217C00410000,2023-02-17,410.0,call,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:MSFT230217C00420000,2023-02-17,420.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00110000,2023-02-17,110.0,put,american,100,2023-01-20,0.01,0.02,0.01,0.02
O:MSFT230217P00115000,2023-02-17,115.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00120000,2023-02-17,120.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00125000,2023-02-17,125.0,put,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:MSFT230217P00130000,2023-02-17,130.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00135000,2023-02-17,135.0,put,american,100,2023-01-20,0.08,0.08,0.01,0.01
O:MSFT230217P00140000,2023-02-17,140.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00145000,2023-02-17,145.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00150000,2023-02-17,150.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00155000,2023-02-17,155.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00160000,2023-02-17,160.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00165000,2023-02-17,165.0,put,american,100,2023-01-20,0.51,0.51,0.01,0.01
O:MSFT230217P00170000,2023-02-17,170.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00175000,2023-02-17,175.0,put,american,100,2023-01-20,,,,
O:MSFT230217P00180000,2023-02-17,180.0,put,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:MSFT230217P00185000,2023-02-17,185.0,put,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:MSFT230217P00190000,2023-02-17,190.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00195000,2023-02-17,195.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00200000,2023-02-17,200.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00205000,2023-02-17,205.0,put,american,100,2023-01-20,0.01,0.02,0.01,0.02
O:MSFT230217P00210000,2023-02-17,210.0,put,american,100,2023-01-20,0.01,0.03,0.01,0.03
O:MSFT230217P00215000,2023-02-17,215.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00220000,2023-02-17,220.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:MSFT230217P00225000,2023-02-17,225.0,put,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:MSFT230217P00230000,2023-02-17,230.0,put,american,100,2023-01-20,0.02,0.03,0.01,0.01
O:MSFT230217P00235000,2023-02-17,235.0,put,american,100,2023-01-20,0.01,0.03,0.01,0.01
O:MSFT230217P00240000,2023-02-17,240.0,put,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:MSFT230217P00245000,2023-02-17,245.0,put,american,100,2023-01-20,0.04,0.05,0.01,0.01
O:MSFT230217P00250000,2023-02-17,250.0,put,american,100,2023-01-20,0.12,0.19,0.01,0.01
O:MSFT230217P00255000,2023-02-17,255.0,put,american,100,2023-01-20,0.45,1.0,0.01,0.01
O:MSFT230217P00260000,2023-02-17,260.0,put,american,100,2023-01-20,1.98,4.0,1.39,2.04
O:MSFT230217P00265000,2023-02-17,265.0,put,american,100,2023-01-20,5.64,8.85,4.85,7.27
O:MSFT230217P00270000,2023-02-17,270.0,put,american,100,2023-01-20,10.15,13.8,10.05,12.25
O:MSFT230217P00275000,2023-02-17,275.0,put,american,100,2023-01-20,15.55,18.95,14.45,17.66
O:MSFT230217P00280000,2023-02-17,280.0,put,american,100,2023-01-20,22.0,23.54,21.95,22.45
O:MSFT230217P00285000,2023-02-17,285.0,put,american,100,2023-01-20,28.42,28.42,28.42,28.42
O:MSFT230217P00290000,2023-02-17,290.0,put,american,100,2023-01-20,33.0,33.0,32.95,32.95
O:MSFT230217P00295000,2023-02-17,295.0,put,american,100,2023-01-20,30.55,30.55,30.55,30.55
O:MSFT230217P00300000,2023-02-17,300.0,put,american,100,2023-01-20,29.99,32.0,29.99,31.7
O:MSFT230217P00305000,2023-02-17,305.0,put,american,100,2023-01-20,36.9,37.1,36.9,37.1
O:MSFT230217P00310000,2023-02-17,310.0,put,american,100,2023-01-20,46.4,46.4,44.73,44.73
O:MSFT230217P00315000,2023-02-17,315.0,put,american,100,2023-01-20,44.61,44.61,44.61,44.61
O:MSFT230217P00320000,2023-02-17,320.0,put,american,100,2023-01-20,62.5,62.5,62.5,62.5
O:MSFT230217P00325000,2023-02-17,325.0,put,american,100,2023-01-20,57.7,57.7,56.2,56.2
O:MSFT230217P00330000,2023-02-17,330.0,put,american,100,2023-01-20,64.0,64.0,64.0,64.0
O:MSFT230217P00335000,2023-02-17,335.0,put,american,100,2023-01-20,68.74,68.74,68.74,68.74
O:MSFT230217P00340000,2023-02-17,340.0,put,american,100,2023-01-20,70.1,70.1,70.1,70.1
O:MSFT230217P00345000,2023-02-17,345.0,put,american,100,2023-01-20,114.45,114.45,114.45,114.45
O:MSFT230217P00350000,2023-02-17,350.0,put,american,100,2023-01-20,78.1,78.1,77.54,77.54
O:MSFT230217P00355000,2023-02-17,355.0,put,american,100,2023-01-20,,,,
O:MSFT230217P00360000,2023-02-17,360.0,put,american,100,2023-01-20,107.25,108.95,107.25,108.95
O:MSFT230217P00370000,2023-02-17,370.0,put,american,100,2023-01-20,97.95,97.95,97.95,97.95
O:MSFT230217P00380000,2023-02-17,380.0,put,american,100,2023-01-20,134.75,134.75,134.75,134.75
O:MSFT230217P00390000,2023-02-17,390.0,put,american,100,2023-01-20,152.9,152.9,152.9,152.9
O:MSFT230217P00400000,2023-02-17,400.0,put,american,100,2023-01-20,140.25,142.25,140.25,141.65
O:MSFT230217P00410000,2023-02-17,410.0,put,american,100,2023-01-20,151.6,151.75,151.25,151.25
O:MSFT230217P00420000,2023-02-17,420.0,put,american,100,2023-01-20,162.25,162.25,162.25,162.25
O:MSFT230317C00110000,2023-03-17,110.0,call,american,100,2023-02-17,168.2,168.2,168.2,168.2
O:MSFT230317C00115000,2023-03-17,115.0,call,american,100,2023-02-17,148.8,148.8,148.8,148.8
O:MSFT230317C00120000,2023-03-17,120.0,call,american,100,2023-02-17,144.9,155.85,143.8,155.85
O:MSFT230317C00125000,2023-03-17,125.0,call,american,100,2023-02-17,126.55,129.33,126.55,129.33
O:MSFT230317C00130000,2023-03-17,130.0,call,american,100,2023-02-17,110.0,110.0,110.0,110.0
O:MSFT230317C00135000,2023-03-17,135.0,call,american,100,2023-02-17,113.25,113.25,113.25,113.25
O:MSFT230317C00140000,2023-03-17,140.0,call,american,100,2023-02-17,130.15,130.15,130.15,130.15
O:MSFT230317C00145000,2023-03-17,145.0,call,american,100,2023-02-17,133.17,133.17,133.17,133.17
O:MSFT230317C00150000,2023-03-17,150.0,call,american,100,2023-02-17,130.55,132.68,130.54,130.54
O:MSFT230317C00155000,2023-03-17,155.0,call,american,100,2023-02-17,127.55,127.55,123.65,123.65
O:MSFT230317C00160000,2023-03-17,160.0,call,american,100,2023-02-17,117.7,117.7,117.6,117.6
O:MSFT230317C00165000,2023-03-17,165.0,call,american,100,2023-02-17,105.8,105.95,105.8,105.95
O:MSFT230317C00170000,2023-03-17,170.0,call,american,100,2023-02-17,107.87,107.87,107.87,107.87
O:MSFT230317C00175000,2023-03-17,175.0,call,american,100,2023-02-17,103.3,103.3,103.3,103.3
O:MSFT230317C00180000,2023-03-17,180.0,call,american,100,2023-02-17,100.4,100.4,100.4,100.4
O:MSFT230317C00185000,2023-03-17,185.0,call,american,100,2023-02-17,73.17,73.17,73.17,73.17
O:MSFT230317C00190000,2023-03-17,190.0,call,american,100,2023-02-17,74.87,86.17,74.87,86.17
O:MSFT230317C00195000,2023-03-17,195.0,call,american,100,2023-02-17,63.4,63.4,63.4,63.4
O:MSFT230317C00200000,2023-03-17,200.0,call,american,100,2023-02-17,79.9,82.2,77.3,78.81
O:MSFT230317C00205000,2023-03-17,205.0,call,american,100,2023-02-17,75.85,75.85,73.2,73.2
