option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:MSTR230317C00005000,2023-03-17,5.0,call,american,100,2023-02-17,231.0,231.0,231.0,231.0
O:MSTR230317C00010000,2023-03-17,10.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00015000,2023-03-17,15.0,call,american,100,2023-02-17,170.0,170.0,170.0,170.0
O:MSTR230317C00020000,2023-03-17,20.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00025000,2023-03-17,25.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00030000,2023-03-17,30.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00035000,2023-03-17,35.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00040000,2023-03-17,40.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00045000,2023-03-17,45.0,call,american,100,2023-02-17,224.15,224.15,224.15,224.15
O:MSTR230317C00050000,2023-03-17,50.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00055000,2023-03-17,55.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00060000,2023-03-17,60.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00065000,2023-03-17,65.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00070000,2023-03-17,70.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00075000,2023-03-17,75.0,call,american,100,2023-02-17,156.8,156.8,156.8,156.8
O:MSTR230317C00080000,2023-03-17,80.0,call,american,100,2023-02-17,143.9,143.9,143.9,143.9
O:MSTR230317C00085000,2023-03-17,85.0,call,american,100,2023-02-17,133.05,133.05,133.05,133.05
O:MSTR230317C00090000,2023-03-17,90.0,call,american,100,2023-02-17,134.2,134.2,134.2,134.2
O:MSTR230317C00095000,2023-03-17,95.0,call,american,100,2023-02-17,138.05,138.05,138.05,138.05
O:MSTR230317C00100000,2023-03-17,100.0,call,american,100,2023-02-17,153.85,153.85,153.85,153.85
O:MSTR230317C00105000,2023-03-17,105.0,call,american,100,2023-02-17,102.96,107.25,102.96,107.25
O:MSTR230317C00110000,2023-03-17,110.0,call,american,100,2023-02-17,163.0,163.0,163.0,163.0
O:MSTR230317C00115000,2023-03-17,115.0,call,american,100,2023-02-17,118.35,118.35,118.35,118.35
O:MSTR230317C00120000,2023-03-17,120.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00125000,2023-03-17,125.0,call,american,100,2023-02-17,105.05,105.05,105.05,105.05
O:MSTR230317C00130000,2023-03-17,130.0,call,american,100,2023-02-17,99.05,99.05,99.05,99.05
O:MSTR230317C00135000,2023-03-17,135.0,call,american,100,2023-02-17,84.2,84.2,84.2,84.2
O:MSTR230317C00140000,2023-03-17,140.0,call,american,100,2023-02-17,78.46,78.46,78.45,78.45
O:MSTR230317C00145000,2023-03-17,145.0,call,american,100,2023-02-17,36.5,36.5,36.5,36.5
O:MSTR230317C00150000,2023-03-17,150.0,call,american,100,2023-02-17,,,,
O:MSTR230317C00155000,2023-03-17,155.0,call,american,100,2023-02-17,76.8,76.8,76.8,76.8
O:MSTR230317C00160000,2023-03-17,160.0,call,american,100,2023-02-17,78.9,78.9,78.9,78.9
O:MSTR230317C00165000,2023-03-17,165.0,call,american,100,2023-02-17,61.45,61.45,61.45,61.45
O:MSTR230317C00170000,2023-03-17,170.0,call,american,100,2023-02-17,90.2,90.35,90.2,90.35
O:MSTR230317C00175000,2023-03-17,175.0,call,american,100,2023-02-17,77.0,97.5,77.0,97.5
O:MSTR230317C00180000,2023-03-17,180.0,call,american,100,2023-02-17,74.05,90.18,74.05,90.18
O:MSTR230317C00185000,2023-03-17,185.0,call,american,100,2023-02-17,60.35,60.35,60.35,60.35
O:MSTR230317C00190000,2023-03-17,190.0,call,american,100,2023-02-17,71.25,72.58,64.85,72.58
O:MSTR230317C00195000,2023-03-17,195.0,call,american,100,2023-02-17,75.8,75.8,72.8,72.8
O:MSTR230317C00200000,2023-03-17,200.0,call,american,100,2023-02-17,53.7,74.0,52.35,69.33
O:MSTR230317C00210000,2023-03-17,210.0,call,american,100,2023-02-17,44.0,62.0,43.0,61.63
