option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:NFLX230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,205.85,205.85,205.2,205.2
O:NFLX230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,210.3,210.3,210.3,210.3
O:NFLX230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,198.6,198.6,198.6,198.6
O:NFLX230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,134.77,134.78,134.77,134.78
O:NFLX230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,197.41,197.41,197.41,197.41
O:NFLX230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,185.73,185.73,185.73,185.73
O:NFLX230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,176.0,176.0,176.0,176.0
O:NFLX230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,196.98,196.98,196.98,196.98
O:NFLX230217C00180000,2023-02-17,180.0,call,american,100,2023-01-20,181.95,181.95,181.95,181.95
O:NFLX230217C00185000,2023-02-17,185.0,call,american,100,2023-01-20,166.44,166.44,166.44,166.44
O:NFLX230217C00190000,2023-02-17,190.0,call,american,100,2023-01-20,152.75,152.84,152.75,152.84
O:NFLX230217C00195000,2023-02-17,195.0,call,american,100,2023-01-20,125.9,125.9,125.9,125.9
O:NFLX230217C00200000,2023-02-17,200.0,call,american,100,2023-01-20,157.35,159.75,156.75,158.75
O:NFLX230217C00205000,2023-02-17,205.0,call,american,100,2023-01-20,146.32,146.32,146.32,146.32
O:NFLX230217C00210000,2023-02-17,210.0,call,american,100,2023-01-20,143.37,143.37,143.37,143.37
O:NFLX230217C00215000,2023-02-17,215.0,call,american,100,2023-01-20,131.08,131.08,131.08,131.08
O:NFLX230217C00220000,2023-02-17,220.0,call,american,100,2023-01-20,146.7,146.7,141.37,141.53
O:NFLX230217C00225000,2023-02-17,225.0,call,american,100,2023-01-20,134.6,134.6,127.3,127.3
O:NFLX230217C00230000,2023-02-17,230.0,call,american,100,2023-01-20,115.0,115.0,115.0,115.0
O:NFLX230217C00235000,2023-02-17,235.0,call,american,100,2023-01-20,117.9,118.97,117.9,118.97
O:NFLX230217C00240000,2023-02-17,240.0,call,american,100,2023-01-20,116.68,116.68,116.68,116.68
O:NFLX230217C00245000,2023-02-17,245.0,call,american,100,2023-01-20,103.2,103.2,103.2,103.2
O:NFLX230217C00250000,2023-02-17,250.0,call,american,100,2023-01-20,108.27,108.27,107.92,107.92
