option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:NIO230217C00002500,2023-02-17,2.5,call,american,100,2023-01-20,7.6,7.6,7.6,7.6
O:NIO230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,5.0,5.09,4.99,5.09
O:NIO230217C00007500,2023-02-17,7.5,call,american,100,2023-01-20,2.55,2.63,2.46,2.49
O:NIO230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,0.19,0.27,0.05,0.19
O:NIO230217C00012500,2023-02-17,12.5,call,american,100,2023-01-20,0.01,0.03,0.01,0.01
O:NIO230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217C00017500,2023-02-17,17.5,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:NIO230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217C00022500,2023-02-17,22.5,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217C00025000,2023-02-17,25.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,0.05,0.05,0.05,0.05
O:NIO230217P00002500,2023-02-17,2.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217P00005000,2023-02-17,5.0,put,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:NIO230217P00007500,2023-02-17,7.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:NIO230217P00010000,2023-02-17,10.0,put,american,100,2023-01-20,0.07,0.11,0.01,0.01
O:NIO230217P00012500,2023-02-17,12.5,put,american,100,2023-01-20,2.24,2.5,2.24,2.39
O:NIO230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,4.89,5.0,4.82,4.86
O:NIO230217P00017500,2023-02-17,17.5,put,american,100,2023-01-20,7.21,7.21,7.0,7.0
O:NIO230217P00020000,2023-02-17,20.0,put,american,100,2023-01-20,9.56,9.75,9.56,9.6
O:NIO230217P00022500,2023-02-17,22.5,put,american,100,2023-01-20,10.35,10.35,10.35,10.35
O:NIO230217P00025000,2023-02-17,25.0,put,american,100,2023-01-20,13.6,13.6,13.6,13.6
O:NIO230217P00030000,2023-02-17,30.0,put,american,100,2023-01-20,19.2,19.2,19.2,19.2
O:NIO230217P00035000,2023-02-17,35.0,put,american,100,2023-01-20,24.2,24.2,24.2,24.2
O:NIO230217P00040000,2023-02-17,40.0,put,american,100,2023-01-20,29.06,29.06,29.06,29.06
O:NIO230217P00045000,2023-02-17,45.0,put,american,100,2023-01-20,32.1,32.1,32.1,32.1
O:NIO230317C00002500,2023-03-17,2.5,call,american,100,2023-02-17,6.15,6.15,5.7,5.7
O:NIO230317C00005000,2023-03-17,5.0,call,american,100,2023-02-17,3.3,3.3,3.2,3.25
O:NIO230317C00007500,2023-03-17,7.5,call,american,100,2023-02-17,1.0,1.15,0.72,0.73
O:NIO230317C00010000,2023-03-17,10.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00012500,2023-03-17,12.5,call,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:NIO230317C00015000,2023-03-17,15.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00017500,2023-03-17,17.5,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00020000,2023-03-17,20.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00022500,2023-03-17,22.5,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00025000,2023-03-17,25.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00030000,2023-03-17,30.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00035000,2023-03-17,35.0,call,american,100,2023-02-17,,,,
O:NIO230317C00040000,2023-03-17,40.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317C00045000,2023-03-17,45.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317P00002500,2023-03-17,2.5,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317P00005000,2023-03-17,5.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317P00007500,2023-03-17,7.5,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:NIO230317P00010000,2023-03-17,10.0,put,american,100,2023-02-17,,,,
O:NIO230317P00012500,2023-03-17,12.5,put,american,100,2023-02-17,4.15,4.32,4.15,4.23
O:NIO230317P00015000,2023-03-17,15.0,put,american,100,2023-02-17,6.39,6.76,6.39,6.74
O:NIO230317P00017500,2023-03-17,17.5,put,american,100,2023-02-17,8.94,8.94,8.94,8.94
O:NIO230317P00020000,2023-03-17,20.0,put,american,100,2023-02-17,11.79,11.79,11.75,11.75
O:NIO230317P00022500,2023-03-17,22.5,put,american,100,2023-02-17,13.75,13.75,13.75,13.75
O:NIO230317P00025000,2023-03-17,25.0,put,american,100,2023-02-17,16.77,16.77,16.77,16.77
O:NIO230317P00030000,2023-03-17,30.0,put,american,100,2023-02-17,18.82,18.82,18.82,18.82
O:NIO230317P00035000,2023-03-17,35.0,put,american,100,2023-02-17,23.79,23.79,23.79,23.79
O:NIO230317P00040000,2023-03-17,40.0,put,american,100,2023-02-17,31.15,31.15,31.15,31.15
O:NIO230317P00045000,2023-03-17,45.0,put,american,100,2023-02-17,33.87,33.87,33.86,33.86
O:NIO230421C00002500,2023-04-21,2.5,call,american,100,2023-03-17,5.9,5.9,5.74,5.74
O:NIO230421C00005000,2023-04-21,5.0,call,american,100,2023-03-17,3.3,3.3,3.28,3.29
O:NIO230421C00007500,2023-04-21,7.5,call,american,100,2023-03-17,0.81,0.85,0.57,0.8
O:NIO230421C00010000,2023-04-21,10.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:NIO230421C00012500,2023-04-21,12.5,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:NIO230421C00015000,2023-04-21,15.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:NIO230421C00017500,2023-04-21,17.5,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:NIO230421C00020000,2023-04-21,20.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:NIO230421P00002500,2023-04-21,2.5,put,american,100,2023-03-17,0.09,0.09,0.09,0.09
O:NIO230421P00005000,2023-04-21,5.0,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:NIO230421P00007500,2023-04-21,7.5,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:NIO230421P00010000,2023-04-21,10.0,put,american,100,2023-03-17,1.72,1.93,1.65,1.69
O:NIO230421P00012500,2023-04-21,12.5,put,american,100,2023-03-17,4.35,4.35,4.3,4.3
O:NIO230421P00015000,2023-04-21,15.0,put,american,100,2023-03-17,5.4,5.4,5.14,5.2
O:NIO230421P00017500,2023-04-21,17.5,put,american,100,2023-03-17,9.21,9.21,9.21,9.21
O:NIO230421P00020000,2023-04-21,20.0,put,american,100,2023-03-17,11.75,11.75,11.75,11.75
O:NIO230519C00002500,2023-05-19,2.5,call,american,100,2023-04-21,5.42,5.54,5.42,5.54
O:NIO230519C00005000,2023-05-19,5.0,call,american,100,2023-04-21,3.06,3.06,2.96,3.05
O:NIO230519C00007500,2023-05-19,7.5,call,american,100,2023-04-21,0.38,0.64,0.33,0.6
O:NIO230519C00010000,2023-05-19,10.0,call,american,100,2023-04-21,0.01,0.03,0.01,0.01
O:NIO230519C00012500,2023-05-19,12.5,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:NIO230519C00015000,2023-05-19,15.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:NIO230519C00017500,2023-05-19,17.5,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:NIO230519C00020000,2023-05-19,20.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:NIO230519C00022500,2023-05-19,22.5,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:NIO230519C00025000,2023-05-19,25.0,call,american,100,2023-04-21,,,,
