option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:NVDA230217C00060000,2023-02-17,60.0,call,american,100,2023-01-20,154.5,156.0,153.8,153.8
O:NVDA230217C00065000,2023-02-17,65.0,call,american,100,2023-01-20,155.6,156.8,155.6,156.8
O:NVDA230217C00070000,2023-02-17,70.0,call,american,100,2023-01-20,145.45,145.45,141.35,144.3
O:NVDA230217C00075000,2023-02-17,75.0,call,american,100,2023-01-20,149.6,149.73,149.6,149.73
O:NVDA230217C00080000,2023-02-17,80.0,call,american,100,2023-01-20,137.75,137.75,137.75,137.75
O:NVDA230217C00085000,2023-02-17,85.0,call,american,100,2023-01-20,129.0,129.0,128.98,128.98
O:NVDA230217C00090000,2023-02-17,90.0,call,american,100,2023-01-20,123.87,123.87,123.87,123.87
O:NVDA230217C00095000,2023-02-17,95.0,call,american,100,2023-01-20,117.65,117.65,115.99,115.99
O:NVDA230217C00100000,2023-02-17,100.0,call,american,100,2023-01-20,111.55,111.55,110.65,110.65
O:NVDA230217C00105000,2023-02-17,105.0,call,american,100,2023-01-20,110.09,113.97,110.09,113.97
O:NVDA230217C00110000,2023-02-17,110.0,call,american,100,2023-01-20,104.0,104.0,104.0,104.0
O:NVDA230217C00115000,2023-02-17,115.0,call,american,100,2023-01-20,,,,
O:NVDA230217C00120000,2023-02-17,120.0,call,american,100,2023-01-20,92.25,94.65,92.2,94.65
O:NVDA230217C00125000,2023-02-17,125.0,call,american,100,2023-01-20,87.5,89.65,85.92,89.21
O:NVDA230217C00130000,2023-02-17,130.0,call,american,100,2023-01-20,86.7,86.7,81.5,84.63
O:NVDA230217C00135000,2023-02-17,135.0,call,american,100,2023-01-20,79.88,80.6,75.15,78.72
O:NVDA230217C00140000,2023-02-17,140.0,call,american,100,2023-01-20,76.0,76.0,71.51,73.9
O:NVDA230217C00145000,2023-02-17,145.0,call,american,100,2023-01-20,71.3,71.3,65.27,69.3
O:NVDA230217C00150000,2023-02-17,150.0,call,american,100,2023-01-20,65.9,66.65,59.88,63.61
O:NVDA230217C00155000,2023-02-17,155.0,call,american,100,2023-01-20,60.94,60.95,56.19,58.7
O:NVDA230217C00160000,2023-02-17,160.0,call,american,100,2023-01-20,56.38,56.9,50.25,53.83
O:NVDA230217C00165000,2023-02-17,165.0,call,american,100,2023-01-20,51.45,51.45,44.88,48.6
O:NVDA230217C00170000,2023-02-17,170.0,call,american,100,2023-01-20,45.89,46.7,39.9,44.05
O:NVDA230217C00175000,2023-02-17,175.0,call,american,100,2023-01-20,41.6,41.6,35.28,38.75
O:NVDA230217C00180000,2023-02-17,180.0,call,american,100,2023-01-20,36.43,37.25,29.89,33.62
