option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:PLTR230217C00001000,2023-02-17,1.0,call,american,100,2023-01-20,8.7,8.7,8.7,8.7
O:PLTR230217C00002000,2023-02-17,2.0,call,american,100,2023-01-20,7.15,7.15,7.15,7.15
O:PLTR230217C00003000,2023-02-17,3.0,call,american,100,2023-01-20,6.05,6.25,6.05,6.25
O:PLTR230217C00004000,2023-02-17,4.0,call,american,100,2023-01-20,5.15,5.15,5.15,5.15
O:PLTR230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,4.17,4.2,4.17,4.18
O:PLTR230217C00006000,2023-02-17,6.0,call,american,100,2023-01-20,3.41,3.48,3.1,3.2
O:PLTR230217C00007000,2023-02-17,7.0,call,american,100,2023-01-20,2.67,2.67,2.1,2.22
O:PLTR230217C00008000,2023-02-17,8.0,call,american,100,2023-01-20,1.57,1.7,1.11,1.2
O:PLTR230217C00009000,2023-02-17,9.0,call,american,100,2023-01-20,0.56,0.74,0.14,0.18
O:PLTR230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,0.05,0.07,0.01,0.01
O:PLTR230217C00011000,2023-02-17,11.0,call,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:PLTR230217C00012000,2023-02-17,12.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217C00013000,2023-02-17,13.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217C00014000,2023-02-17,14.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217C00016000,2023-02-17,16.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00001000,2023-02-17,1.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00002000,2023-02-17,2.0,put,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:PLTR230217P00003000,2023-02-17,3.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00004000,2023-02-17,4.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00005000,2023-02-17,5.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00006000,2023-02-17,6.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00007000,2023-02-17,7.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00008000,2023-02-17,8.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:PLTR230217P00009000,2023-02-17,9.0,put,american,100,2023-01-20,0.03,0.06,0.01,0.01
O:PLTR230217P00010000,2023-02-17,10.0,put,american,100,2023-01-20,0.49,0.9,0.36,0.83
O:PLTR230217P00011000,2023-02-17,11.0,put,american,100,2023-01-20,1.44,1.85,1.44,1.83
O:PLTR230217P00012000,2023-02-17,12.0,put,american,100,2023-01-20,2.53,2.83,2.53,2.83
O:PLTR230217P00013000,2023-02-17,13.0,put,american,100,2023-01-20,3.28,3.7,3.05,3.05
O:PLTR230217P00014000,2023-02-17,14.0,put,american,100,2023-01-20,7.85,7.85,7.65,7.65
O:PLTR230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,5.8,5.8,5.8,5.8
O:PLTR230217P00016000,2023-02-17,16.0,put,american,100,2023-01-20,6.83,6.83,6.83,6.83
O:PLTR230217P00020000,2023-02-17,20.0,put,american,100,2023-01-20,10.5,10.5,10.5,10.5
O:PLTR230317C00001000,2023-03-17,1.0,call,american,100,2023-02-17,7.0,7.0,6.95,6.95
O:PLTR230317C00002000,2023-03-17,2.0,call,american,100,2023-02-17,5.78,5.78,5.78,5.78
O:PLTR230317C00003000,2023-03-17,3.0,call,american,100,2023-02-17,,,,
O:PLTR230317C00004000,2023-03-17,4.0,call,american,100,2023-02-17,3.9,3.9,3.85,3.85
O:PLTR230317C00005000,2023-03-17,5.0,call,american,100,2023-02-17,3.01,3.01,2.85,2.86
O:PLTR230317C00006000,2023-03-17,6.0,call,american,100,2023-02-17,1.92,1.99,1.87,1.89
O:PLTR230317C00007000,2023-03-17,7.0,call,american,100,2023-02-17,0.93,1.04,0.84,0.88
O:PLTR230317C00008000,2023-03-17,8.0,call,american,100,2023-02-17,0.06,0.09,0.01,0.01
O:PLTR230317C00009000,2023-03-17,9.0,call,american,100,2023-02-17,0.01,0.03,0.01,0.01
O:PLTR230317C00010000,2023-03-17,10.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00011000,2023-03-17,11.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00012000,2023-03-17,12.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00013000,2023-03-17,13.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00014000,2023-03-17,14.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00015000,2023-03-17,15.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00016000,2023-03-17,16.0,call,american,100,2023-02-17,0.01,0.02,0.01,0.02
O:PLTR230317C00017000,2023-03-17,17.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00018000,2023-03-17,18.0,call,american,100,2023-02-17,0.05,0.05,0.02,0.02
O:PLTR230317C00019000,2023-03-17,19.0,call,american,100,2023-02-17,,,,
O:PLTR230317C00020000,2023-03-17,20.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00022000,2023-03-17,22.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317C00025000,2023-03-17,25.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00001000,2023-03-17,1.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00002000,2023-03-17,2.0,put,american,100,2023-02-17,,,,
O:PLTR230317P00003000,2023-03-17,3.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00004000,2023-03-17,4.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00005000,2023-03-17,5.0,put,american,100,2023-02-17,,,,
O:PLTR230317P00006000,2023-03-17,6.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00007000,2023-03-17,7.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00008000,2023-03-17,8.0,put,american,100,2023-02-17,0.11,0.19,0.06,0.12
O:PLTR230317P00009000,2023-03-17,9.0,put,american,100,2023-02-17,1.06,1.16,0.99,1.12
O:PLTR230317P00010000,2023-03-17,10.0,put,american,100,2023-02-17,2.12,2.16,2.01,2.08
O:PLTR230317P00011000,2023-03-17,11.0,put,american,100,2023-02-17,,,,
O:PLTR230317P00012000,2023-03-17,12.0,put,american,100,2023-02-17,4.12,4.16,4.12,4.14
O:PLTR230317P00013000,2023-03-17,13.0,put,american,100,2023-02-17,5.4,5.4,5.4,5.4
O:PLTR230317P00014000,2023-03-17,14.0,put,american,100,2023-02-17,6.28,6.31,6.26,6.26
O:PLTR230317P00015000,2023-03-17,15.0,put,american,100,2023-02-17,7.0,7.0,7.0,7.0
O:PLTR230317P00016000,2023-03-17,16.0,put,american,100,2023-02-17,8.05,8.05,8.05,8.05
O:PLTR230317P00017000,2023-03-17,17.0,put,american,100,2023-02-17,8.73,8.73,8.73,8.73
O:PLTR230317P00018000,2023-03-17,18.0,put,american,100,2023-02-17,,,,
O:PLTR230317P00019000,2023-03-17,19.0,put,american,100,2023-02-17,10.7,10.7,10.7,10.7
O:PLTR230317P00020000,2023-03-17,20.0,put,american,100,2023-02-17,12.13,12.13,12.12,12.12
O:PLTR230317P00022000,2023-03-17,22.0,put,american,100,2023-02-17,14.0,14.0,14.0,14.0
O:PLTR230317P00025000,2023-03-17,25.0,put,american,100,2023-02-17,16.05,16.47,16.05,16.47
O:PLTR230421C00001000,2023-04-21,1.0,call,american,100,2023-03-17,7.15,7.15,7.15,7.15
O:PLTR230421C00002000,2023-04-21,2.0,call,american,100,2023-03-17,,,,
O:PLTR230421C00003000,2023-04-21,3.0,call,american,100,2023-03-17,5.3,5.3,5.3,5.3
O:PLTR230421C00004000,2023-04-21,4.0,call,american,100,2023-03-17,3.7,4.06,3.7,4.06
