option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:RIVN230217C00002500,2023-02-17,2.5,call,american,100,2023-01-20,17.0,17.0,17.0,17.0
O:RIVN230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,13.75,13.75,13.75,13.75
O:RIVN230217C00007500,2023-02-17,7.5,call,american,100,2023-01-20,12.4,12.4,12.4,12.4
O:RIVN230217C00010000,2023-02-17,10.0,call,american,100,2023-01-20,10.5,10.5,10.5,10.5
O:RIVN230217C00012500,2023-02-17,12.5,call,american,100,2023-01-20,7.49,7.5,7.49,7.5
O:RIVN230217C00015000,2023-02-17,15.0,call,american,100,2023-01-20,5.01,5.01,4.93,4.93
O:RIVN230217C00017500,2023-02-17,17.5,call,american,100,2023-01-20,2.34,2.66,2.16,2.58
O:RIVN230217C00020000,2023-02-17,20.0,call,american,100,2023-01-20,0.6,0.68,0.06,0.22
O:RIVN230217C00022500,2023-02-17,22.5,call,american,100,2023-01-20,0.03,0.03,0.01,0.01
O:RIVN230217C00025000,2023-02-17,25.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:RIVN230217C00027500,2023-02-17,27.5,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:RIVN230217C00030000,2023-02-17,30.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:RIVN230217C00032500,2023-02-17,32.5,call,american,100,2023-01-20,0.01,0.02,0.01,0.02
O:RIVN230217C00035000,2023-02-17,35.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:RIVN230217C00037500,2023-02-17,37.5,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:RIVN230217C00040000,2023-02-17,40.0,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:RIVN230217C00042500,2023-02-17,42.5,call,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:RIVN230217C00045000,2023-02-17,45.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:RIVN230217C00050000,2023-02-17,50.0,call,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:RIVN230217C00055000,2023-02-17,55.0,call,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:RIVN230217P00002500,2023-02-17,2.5,put,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:RIVN230217P00005000,2023-02-17,5.0,put,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:RIVN230217P00007500,2023-02-17,7.5,put,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:RIVN230217P00010000,2023-02-17,10.0,put,american,100,2023-01-20,0.03,0.03,0.03,0.03
O:RIVN230217P00012500,2023-02-17,12.5,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:RIVN230217P00015000,2023-02-17,15.0,put,american,100,2023-01-20,0.02,0.02,0.01,0.01
O:RIVN230217P00017500,2023-02-17,17.5,put,american,100,2023-01-20,0.02,0.03,0.01,0.01
O:RIVN230217P00020000,2023-02-17,20.0,put,american,100,2023-01-20,0.18,0.6,0.02,0.02
O:RIVN230217P00022500,2023-02-17,22.5,put,american,100,2023-01-20,2.85,2.85,2.44,2.44
O:RIVN230217P00025000,2023-02-17,25.0,put,american,100,2023-01-20,4.7,5.35,4.7,4.9
O:RIVN230217P00027500,2023-02-17,27.5,put,american,100,2023-01-20,7.75,7.75,7.75,7.75
O:RIVN230217P00030000,2023-02-17,30.0,put,american,100,2023-01-20,8.8,8.8,8.69,8.69
O:RIVN230217P00032500,2023-02-17,32.5,put,american,100,2023-01-20,11.65,11.65,11.65,11.65
O:RIVN230217P00035000,2023-02-17,35.0,put,american,100,2023-01-20,18.8,18.8,18.8,18.8
O:RIVN230217P00037500,2023-02-17,37.5,put,american,100,2023-01-20,16.25,16.25,16.25,16.25
O:RIVN230217P00040000,2023-02-17,40.0,put,american,100,2023-01-20,19.87,19.87,19.87,19.87
O:RIVN230217P00042500,2023-02-17,42.5,put,american,100,2023-01-20,21.05,21.05,21.05,21.05
O:RIVN230217P00045000,2023-02-17,45.0,put,american,100,2023-01-20,24.9,24.9,24.9,24.9
O:RIVN230217P00050000,2023-02-17,50.0,put,american,100,2023-01-20,,,,
O:RIVN230217P00055000,2023-02-17,55.0,put,american,100,2023-01-20,,,,
O:RIVN230317C00002500,2023-03-17,2.5,call,american,100,2023-02-17,10.5,10.5,10.5,10.5
O:RIVN230317C00005000,2023-03-17,5.0,call,american,100,2023-02-17,10.15,10.15,10.15,10.15
O:RIVN230317C00007500,2023-03-17,7.5,call,american,100,2023-02-17,6.2,6.2,6.2,6.2
O:RIVN230317C00010000,2023-03-17,10.0,call,american,100,2023-02-17,2.97,3.15,2.97,2.97
O:RIVN230317C00012500,2023-03-17,12.5,call,american,100,2023-02-17,0.58,0.75,0.38,0.57
O:RIVN230317C00015000,2023-03-17,15.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:RIVN230317C00017500,2023-03-17,17.5,call,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:RIVN230317C00020000,2023-03-17,20.0,call,american,100,2023-02-17,0.01,0.02,0.01,0.01
