option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:SOFI230217C00001000,2023-02-17,1.0,call,american,100,2023-01-20,6.18,6.18,6.18,6.18
O:SOFI230217C00002000,2023-02-17,2.0,call,american,100,2023-01-20,4.75,4.75,4.75,4.75
O:SOFI230217C00003000,2023-02-17,3.0,call,american,100,2023-01-20,3.65,3.65,3.65,3.65
O:SOFI230217C00004000,2023-02-17,4.0,call,american,100,2023-01-20,2.57,2.62,2.54,2.59
O:SOFI230217C00005000,2023-02-17,5.0,call,american,100,2023-01-20,1.88,1.9,1.54,1.6
O:SOFI230217C00006000,2023-02-17,6.0,call,american,100,2023-01-20,0.89,0.92,0.53,0.62
O:SOFI230217C00007000,2023-02-17,7.0,call,american,100,2023-01-20,0.08,0.09,0.01,0.01
O:SOFI230217C00008000,2023-02-17,8.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:SOFI230217C00009000,2023-02-17,9.0,call,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:SOFI230217P00001000,2023-02-17,1.0,put,american,100,2023-01-20,0.02,0.02,0.02,0.02
O:SOFI230217P00002000,2023-02-17,2.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:SOFI230217P00003000,2023-02-17,3.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:SOFI230217P00004000,2023-02-17,4.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:SOFI230217P00005000,2023-02-17,5.0,put,american,100,2023-01-20,0.01,0.01,0.01,0.01
O:SOFI230217P00006000,2023-02-17,6.0,put,american,100,2023-01-20,0.01,0.02,0.01,0.01
O:SOFI230217P00007000,2023-02-17,7.0,put,american,100,2023-01-20,0.13,0.48,0.1,0.38
O:SOFI230217P00008000,2023-02-17,8.0,put,american,100,2023-01-20,1.12,1.45,1.11,1.37
O:SOFI230217P00009000,2023-02-17,9.0,put,american,100,2023-01-20,2.37,2.37,2.37,2.37
O:SOFI230317C00001000,2023-03-17,1.0,call,american,100,2023-02-17,,,,
O:SOFI230317C00002000,2023-03-17,2.0,call,american,100,2023-02-17,3.36,3.45,3.36,3.45
O:SOFI230317C00003000,2023-03-17,3.0,call,american,100,2023-02-17,2.41,2.41,2.41,2.41
O:SOFI230317C00004000,2023-03-17,4.0,call,american,100,2023-02-17,1.42,1.48,1.34,1.48
O:SOFI230317C00005000,2023-03-17,5.0,call,american,100,2023-02-17,0.46,0.54,0.35,0.47
O:SOFI230317C00006000,2023-03-17,6.0,call,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:SOFI230317C00007000,2023-03-17,7.0,call,american,100,2023-02-17,,,,
O:SOFI230317C00008000,2023-03-17,8.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317C00009000,2023-03-17,9.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317C00010000,2023-03-17,10.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317C00011000,2023-03-17,11.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317C00012000,2023-03-17,12.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317C00013000,2023-03-17,13.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317C00014000,2023-03-17,14.0,call,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317P00001000,2023-03-17,1.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317P00002000,2023-03-17,2.0,put,american,100,2023-02-17,0.01,0.03,0.01,0.01
O:SOFI230317P00003000,2023-03-17,3.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317P00004000,2023-03-17,4.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:SOFI230317P00005000,2023-03-17,5.0,put,american,100,2023-02-17,0.01,0.02,0.01,0.01
O:SOFI230317P00006000,2023-03-17,6.0,put,american,100,2023-02-17,0.55,0.65,0.46,0.52
O:SOFI230317P00007000,2023-03-17,7.0,put,american,100,2023-02-17,1.56,1.65,1.5,1.5
O:SOFI230317P00008000,2023-03-17,8.0,put,american,100,2023-02-17,2.61,2.64,2.5,2.51
O:SOFI230317P00009000,2023-03-17,9.0,put,american,100,2023-02-17,3.74,3.74,3.74,3.74
O:SOFI230317P00010000,2023-03-17,10.0,put,american,100,2023-02-17,4.59,4.59,4.58,4.58
O:SOFI230317P00011000,2023-03-17,11.0,put,american,100,2023-02-17,4.3,4.3,4.3,4.3
O:SOFI230317P00012000,2023-03-17,12.0,put,american,100,2023-02-17,5.55,5.55,5.55,5.55
O:SOFI230317P00013000,2023-03-17,13.0,put,american,100,2023-02-17,7.5,7.5,7.47,7.47
O:SOFI230317P00014000,2023-03-17,14.0,put,american,100,2023-02-17,8.55,8.57,8.55,8.57
O:SOFI230421C00001000,2023-04-21,1.0,call,american,100,2023-03-17,5.0,5.0,5.0,5.0
O:SOFI230421C00002500,2023-04-21,2.5,call,american,100,2023-03-17,3.45,3.45,3.4,3.4
O:SOFI230421C00004000,2023-04-21,4.0,call,american,100,2023-03-17,1.94,1.97,1.92,1.94
O:SOFI230421C00005000,2023-04-21,5.0,call,american,100,2023-03-17,0.89,1.0,0.88,0.95
O:SOFI230421C00006000,2023-04-21,6.0,call,american,100,2023-03-17,0.03,0.04,0.01,0.01
O:SOFI230421C00007500,2023-04-21,7.5,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00009000,2023-04-21,9.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00010000,2023-04-21,10.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00011000,2023-04-21,11.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00012500,2023-04-21,12.5,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00014000,2023-04-21,14.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00015000,2023-04-21,15.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00017500,2023-04-21,17.5,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00020000,2023-04-21,20.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00022500,2023-04-21,22.5,call,american,100,2023-03-17,,,,
O:SOFI230421C00025000,2023-04-21,25.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00030000,2023-04-21,30.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421C00035000,2023-04-21,35.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421P00001000,2023-04-21,1.0,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421P00002500,2023-04-21,2.5,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421P00004000,2023-04-21,4.0,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421P00005000,2023-04-21,5.0,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:SOFI230421P00006000,2023-04-21,6.0,put,american,100,2023-03-17,0.11,0.16,0.05,0.06
O:SOFI230421P00007500,2023-04-21,7.5,put,american,100,2023-03-17,1.61,1.61,1.54,1.58
O:SOFI230421P00009000,2023-04-21,9.0,put,american,100,2023-03-17,3.06,3.06,3.06,3.06
O:SOFI230421P00010000,2023-04-21,10.0,put,american,100,2023-03-17,4.08,4.08,4.08,4.08
O:SOFI230421P00011000,2023-04-21,11.0,put,american,100,2023-03-17,4.45,4.45,4.45,4.45
O:SOFI230421P00012500,2023-04-21,12.5,put,american,100,2023-03-17,6.73,6.73,6.73,6.73
O:SOFI230421P00014000,2023-04-21,14.0,put,american,100,2023-03-17,8.25,8.25,8.25,8.25
O:SOFI230421P00015000,2023-04-21,15.0,put,american,100,2023-03-17,9.25,9.25,9.25,9.25
O:SOFI230421P00017500,2023-04-21,17.5,put,american,100,2023-03-17,10.2,10.2,10.2,10.2
O:SOFI230421P00020000,2023-04-21,20.0,put,american,100,2023-03-17,14.25,14.25,14.25,14.25
O:SOFI230421P00022500,2023-04-21,22.5,put,american,100,2023-03-17,16.5,16.5,16.5,16.5
O:SOFI230421P00025000,2023-04-21,25.0,put,american,100,2023-03-17,19.1,19.1,19.05,19.05
O:SOFI230421P00030000,2023-04-21,30.0,put,american,100,2023-03-17,24.1,24.1,24.1,24.1
O:SOFI230421P00035000,2023-04-21,35.0,put,american,100,2023-03-17,29.05,29.05,29.05,29.05
O:SOFI230519C00001000,2023-05-19,1.0,call,american,100,2023-04-21,4.75,4.75,4.75,4.75
O:SOFI230519C00002000,2023-05-19,2.0,call,american,100,2023-04-21,2.94,2.94,2.94,2.94
O:SOFI230519C00003000,2023-05-19,3.0,call,american,100,2023-04-21,1.99,1.99,1.92,1.92
O:SOFI230519C00004000,2023-05-19,4.0,call,american,100,2023-04-21,1.06,1.09,0.92,0.92
O:SOFI230519C00005000,2023-05-19,5.0,call,american,100,2023-04-21,0.1,0.14,0.01,0.01
O:SOFI230519C00006000,2023-05-19,6.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00007000,2023-05-19,7.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00008000,2023-05-19,8.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00009000,2023-05-19,9.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00010000,2023-05-19,10.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00011000,2023-05-19,11.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00012000,2023-05-19,12.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00013000,2023-05-19,13.0,call,american,100,2023-04-21,0.02,0.02,0.02,0.02
O:SOFI230519C00014000,2023-05-19,14.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519C00015000,2023-05-19,15.0,call,american,100,2023-04-21,,,,
O:SOFI230519P00001000,2023-05-19,1.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519P00002000,2023-05-19,2.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519P00003000,2023-05-19,3.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519P00004000,2023-05-19,4.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:SOFI230519P00005000,2023-05-19,5.0,put,american,100,2023-04-21,0.04,0.12,0.01,0.07
O:SOFI230519P00006000,2023-05-19,6.0,put,american,100,2023-04-21,,,,
O:SOFI230519P00007000,2023-05-19,7.0,put,american,100,2023-04-21,1.93,2.08,1.91,2.05
O:SOFI230519P00008000,2023-05-19,8.0,put,american,100,2023-04-21,2.98,3.0,2.98,3.0
O:SOFI230519P00009000,2023-05-19,9.0,put,american,100,2023-04-21,4.39,4.39,4.39,4.39
O:SOFI230519P00010000,2023-05-19,10.0,put,american,100,2023-04-21,4.85,4.85,4.85,4.85
O:SOFI230519P00011000,2023-05-19,11.0,put,american,100,2023-04-21,5.69,5.69,5.69,5.69
O:SOFI230519P00012000,2023-05-19,12.0,put,american,100,2023-04-21,6.45,6.45,6.45,6.45
O:SOFI230519P00013000,2023-05-19,13.0,put,american,100,2023-04-21,7.55,7.55,7.55,7.55
O:SOFI230519P00014000,2023-05-19,14.0,put,american,100,2023-04-21,9.35,9.35,9.35,9.35
O:SOFI230519P00015000,2023-05-19,15.0,put,american,100,2023-04-21,10.19,10.19,10.15,10.15
O:SOFI230616C00000500,2023-06-16,0.5,call,american,100,2023-05-19,8.5,9.1,8.47,8.47
O:SOFI230616C00001000,2023-06-16,1.0,call,american,100,2023-05-19,7.85,7.85,7.85,7.85
O:SOFI230616C00001500,2023-06-16,1.5,call,american,100,2023-05-19,5.35,5.35,5.35,5.35
O:SOFI230616C00002000,2023-06-16,2.0,call,american,100,2023-05-19,6.85,6.85,6.85,6.85
O:SOFI230616C00002500,2023-06-16,2.5,call,american,100,2023-05-19,7.5,7.5,7.3,7.3
O:SOFI230616C00003000,2023-06-16,3.0,call,american,100,2023-05-19,6.2,6.2,5.55,5.55
O:SOFI230616C00003500,2023-06-16,3.5,call,american,100,2023-05-19,5.9,5.9,5.9,5.9
O:SOFI230616C00004000,2023-06-16,4.0,call,american,100,2023-05-19,5.08,5.08,4.55,4.65
O:SOFI230616C00004500,2023-06-16,4.5,call,american,100,2023-05-19,4.5,4.5,4.05,4.1
O:SOFI230616C00005000,2023-06-16,5.0,call,american,100,2023-05-19,3.92,3.97,3.55,3.65
O:SOFI230616C00005500,2023-06-16,5.5,call,american,100,2023-05-19,3.45,3.65,3.0,3.15
O:SOFI230616C00006000,2023-06-16,6.0,call,american,100,2023-05-19,3.05,3.45,2.54,2.59
O:SOFI230616C00007000,2023-06-16,7.0,call,american,100,2023-05-19,1.95,2.28,1.52,1.59
O:SOFI230616C00008000,2023-06-16,8.0,call,american,100,2023-05-19,0.97,1.18,0.53,0.57
O:SOFI230616C00009000,2023-06-16,9.0,call,american,100,2023-05-19,0.24,0.28,0.01,0.01
O:SOFI230616C00010000,2023-06-16,10.0,call,american,100,2023-05-19,0.01,0.04,0.01,0.01
O:SOFI230616C00011000,2023-06-16,11.0,call,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616C00012000,2023-06-16,12.0,call,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616C00013000,2023-06-16,13.0,call,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616C00014000,2023-06-16,14.0,call,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616C00015000,2023-06-16,15.0,call,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00000500,2023-06-16,0.5,put,american,100,2023-05-19,,,,
O:SOFI230616P00001000,2023-06-16,1.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00001500,2023-06-16,1.5,put,american,100,2023-05-19,0.02,0.02,0.02,0.02
O:SOFI230616P00002000,2023-06-16,2.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00002500,2023-06-16,2.5,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00003000,2023-06-16,3.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00003500,2023-06-16,3.5,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00004000,2023-06-16,4.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00004500,2023-06-16,4.5,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00005000,2023-06-16,5.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00005500,2023-06-16,5.5,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00006000,2023-06-16,6.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:SOFI230616P00007000,2023-06-16,7.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
