option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:TSLA230519C00050000,2023-05-19,50.0,call,american,100,2023-04-21,129.05,130.95,127.35,129.93
O:TSLA230519C00055000,2023-05-19,55.0,call,american,100,2023-04-21,123.0,125.7,123.0,124.8
O:TSLA230519C00060000,2023-05-19,60.0,call,american,100,2023-04-21,117.0,120.95,117.0,119.5
O:TSLA230519C00065000,2023-05-19,65.0,call,american,100,2023-04-21,114.05,115.7,112.55,114.32
O:TSLA230519C00070000,2023-05-19,70.0,call,american,100,2023-04-21,108.95,111.15,107.35,109.75
O:TSLA230519C00075000,2023-05-19,75.0,call,american,100,2023-04-21,104.05,105.7,102.9,104.3
O:TSLA230519C00080000,2023-05-19,80.0,call,american,100,2023-04-21,98.8,100.7,97.55,100.05
O:TSLA230519C00085000,2023-05-19,85.0,call,american,100,2023-04-21,93.85,95.7,92.95,95.05
O:TSLA230519C00090000,2023-05-19,90.0,call,american,100,2023-04-21,88.5,90.87,88.0,90.05
O:TSLA230519C00095000,2023-05-19,95.0,call,american,100,2023-04-21,83.5,85.65,83.35,84.99
O:TSLA230519C00100000,2023-05-19,100.0,call,american,100,2023-04-21,79.5,81.8,77.45,80.0
O:TSLA230519C00105000,2023-05-19,105.0,call,american,100,2023-04-21,73.5,75.1,73.45,75.0
O:TSLA230519C00110000,2023-05-19,110.0,call,american,100,2023-04-21,69.05,70.75,68.45,70.05
O:TSLA230519C00115000,2023-05-19,115.0,call,american,100,2023-04-21,61.95,65.96,61.95,65.05
O:TSLA230519C00120000,2023-05-19,120.0,call,american,100,2023-04-21,56.8,60.8,56.8,60.0
O:TSLA230519C00125000,2023-05-19,125.0,call,american,100,2023-04-21,52.75,56.0,52.47,54.5
O:TSLA230519C00130000,2023-05-19,130.0,call,american,100,2023-04-21,47.15,51.18,47.15,50.15
O:TSLA230519C00135000,2023-05-19,135.0,call,american,100,2023-04-21,41.49,46.1,41.49,44.98
O:TSLA230519C00140000,2023-05-19,140.0,call,american,100,2023-04-21,36.73,41.7,36.73,40.15
